#Bloque, Nombre, Tipo, Anno, Mes, Duracion, FactEner, PctjMes
   1,Blo0001,Eta0001,   1,   1,    1.,  0.00000,   0,
   2,Blo0002,Eta0001,   1,   1,    1.,  0.00000,   0,
   3,Blo0003,Eta0001,   1,   1,    1.,  0.00000,   0,
   4,Blo0004,Eta0001,   1,   1,    1.,  0.00000,   0,
   5,Blo0005,Eta0001,   1,   1,    1.,  0.00000,   0,
   6,Blo0006,Eta0001,   1,   1,    1.,  0.00000,   0,
   7,Blo0007,Eta0001,   1,   1,    1.,  0.00000,   0,
   8,Blo0008,Eta0001,   1,   1,    1.,  0.00000,   0,
   9,Blo0009,Eta0001,   1,   1,    1.,  0.00000,   0,
  10,Blo0010,Eta0001,   1,   1,    1.,  0.00000,   0,
  11,Blo0011,Eta0001,   1,   1,    1.,  0.00000,   0,
  12,Blo0012,Eta0001,   1,   1,    1.,  0.00000,   0,
  13,Blo0013,Eta0001,   1,   1,    1.,  0.00000,   0,
  14,Blo0014,Eta0001,   1,   1,    1.,  0.00000,   0,
  15,Blo0015,Eta0001,   1,   1,    1.,  0.00000,   0,
  16,Blo0016,Eta0001,   1,   1,    1.,  0.00000,   0,
  17,Blo0017,Eta0001,   1,   1,    1.,  0.00000,   0,
  18,Blo0018,Eta0001,   1,   1,    1.,  0.00000,   0,
  19,Blo0019,Eta0001,   1,   1,    1.,  0.00000,   0,
  20,Blo0020,Eta0001,   1,   1,    1.,  0.00000,   0,
  21,Blo0021,Eta0001,   1,   1,    1.,  0.00000,   0,
  22,Blo0022,Eta0001,   1,   1,    1.,  0.00000,   0,
  23,Blo0023,Eta0001,   1,   1,    1.,  0.00000,   0,
  24,Blo0024,Eta0001,   1,   1,    1.,  0.00000,   0,
