Hidro,Bloque,TipoEtapa,LinNum,LinNom,BarA,BarB,LinFluP,LinFluE,LinFluMax,LinUso,LinPerP,LinPerE,LinPer2P,LinPer2E,LinITP,LinITE
MEDIA ,  11,Stage01     ,    4,l2_4                                            ,   2,   4,   44.17,    0.04,  200.00,   22.09,    0.00,    0.00,    0.00,    0.00,    1.86,    0.00
MEDIA ,  12,Stage01     ,    4,l2_4                                            ,   2,   4,   45.70,    0.05,  200.00,   22.85,    0.00,    0.00,    0.00,    0.00,    1.93,    0.00
MEDIA ,  13,Stage01     ,    4,l2_4                                            ,   2,   4,   47.11,    0.05,  200.00,   23.55,    0.00,    0.00,    0.00,    0.00,    1.98,    0.00
MEDIA ,  14,Stage01     ,    4,l2_4                                            ,   2,   4,   45.70,    0.05,  200.00,   22.85,    0.00,    0.00,    0.00,    0.00,    1.93,    0.00
MEDIA ,  15,Stage01     ,    4,l2_4                                            ,   2,   4,   43.47,    0.04,  200.00,   21.73,    0.00,    0.00,    0.00,    0.00,    1.83,    0.00
MEDIA ,  16,Stage01     ,    4,l2_4                                            ,   2,   4,   41.81,    0.04,  200.00,   20.90,    0.00,    0.00,    0.00,    0.00,    1.76,    0.00
MEDIA ,  17,Stage01     ,    4,l2_4                                            ,   2,   4,   42.64,    0.04,  200.00,   21.32,    0.00,    0.00,    0.00,    0.00,    1.80,    0.00
MEDIA ,  18,Stage01     ,    4,l2_4                                            ,   2,   4,   45.70,    0.05,  200.00,   22.85,    0.00,    0.00,    0.00,    0.00,    1.93,    0.00
MEDIA ,  19,Stage01     ,    4,l2_4                                            ,   2,   4,   51.83,    0.05,  200.00,   25.91,    0.00,    0.00,    0.00,    0.00,    2.18,    0.00
MEDIA ,  20,Stage01     ,    4,l2_4                                            ,   2,   4,   57.13,    0.06,  200.00,   28.56,    0.00,    0.00,    0.00,    0.00,    2.41,    0.00
MEDIA ,  21,Stage01     ,    4,l2_4                                            ,   2,   4,   54.77,    0.05,  200.00,   27.38,    0.00,    0.00,    0.00,    0.00,    2.31,    0.00
MEDIA ,  22,Stage01     ,    4,l2_4                                            ,   2,   4,   49.47,    0.05,  200.00,   24.73,    0.00,    0.00,    0.00,    0.00,    2.08,    0.00
MEDIA ,  23,Stage01     ,    4,l2_4                                            ,   2,   4,   38.30,    0.04,  200.00,   19.15,    0.00,    0.00,    0.00,    0.00,    1.61,    0.00
MEDIA ,  24,Stage01     ,    4,l2_4                                            ,   2,   4,   24.77,    0.02,  200.00,   12.38,    0.00,    0.00,    0.00,    0.00,    1.04,    0.00
MEDIA ,   1,Stage01     ,    5,l3_4                                            ,   3,   4,    4.68,    0.00,  150.00,    3.12,    0.00,    0.00,    0.00,    0.00,    0.13,    0.00
MEDIA ,   2,Stage01     ,    5,l3_4                                            ,   3,   4,    4.09,    0.00,  150.00,    2.72,    0.00,    0.00,    0.00,    0.00,    0.11,    0.00
MEDIA ,   3,Stage01     ,    5,l3_4                                            ,   3,   4,    3.79,    0.00,  150.00,    2.52,    0.00,    0.00,    0.00,    0.00,    0.10,    0.00
MEDIA ,   4,Stage01     ,    5,l3_4                                            ,   3,   4,    3.79,    0.00,  150.00,    2.52,    0.00,    0.00,    0.00,    0.00,    0.10,    0.00
MEDIA ,   5,Stage01     ,    5,l3_4                                            ,   3,   4,    4.09,    0.00,  150.00,    2.72,    0.00,    0.00,    0.00,    0.00,    0.11,    0.00
MEDIA ,   6,Stage01     ,    5,l3_4                                            ,   3,   4,    5.28,    0.01,  150.00,    3.52,    0.00,    0.00,    0.00,    0.00,    0.14,    0.00
MEDIA ,   7,Stage01     ,    5,l3_4                                            ,   3,   4,    6.81,    0.01,  150.00,    4.54,    0.00,    0.00,    0.00,    0.00,    0.18,    0.00
MEDIA ,   8,Stage01     ,    5,l3_4                                            ,   3,   4,    9.15,    0.01,  150.00,    6.10,    0.00,    0.00,    0.00,    0.00,    0.25,    0.00
MEDIA ,   9,Stage01     ,    5,l3_4                                            ,   3,   4,   11.49,    0.01,  150.00,    7.66,    0.00,    0.00,    0.00,    0.00,    0.31,    0.00
MEDIA ,  10,Stage01     ,    5,l3_4                                            ,   3,   4,   13.19,    0.01,  150.00,    8.79,    0.00,    0.00,    0.00,    0.00,    0.35,    0.00
MEDIA ,  11,Stage01     ,    5,l3_4                                            ,   3,   4,   13.83,    0.01,  150.00,    9.22,    0.00,    0.00,    0.00,    0.00,    0.37,    0.00
MEDIA ,  12,Stage01     ,    5,l3_4                                            ,   3,   4,   14.30,    0.01,  150.00,    9.53,    0.00,    0.00,    0.00,    0.00,    0.38,    0.00
MEDIA ,  13,Stage01     ,    5,l3_4                                            ,   3,   4,   14.89,    0.01,  150.00,    9.93,    0.00,    0.00,    0.00,    0.00,    0.40,    0.00
MEDIA ,  14,Stage01     ,    5,l3_4                                            ,   3,   4,   14.30,    0.01,  150.00,    9.53,    0.00,    0.00,    0.00,    0.00,    0.38,    0.00
MEDIA ,  15,Stage01     ,    5,l3_4                                            ,   3,   4,   13.53,    0.01,  150.00,    9.02,    0.00,    0.00,    0.00,    0.00,    0.36,    0.00
MEDIA ,  16,Stage01     ,    5,l3_4                                            ,   3,   4,   13.19,    0.01,  150.00,    8.79,    0.00,    0.00,    0.00,    0.00,    0.35,    0.00
MEDIA ,  17,Stage01     ,    5,l3_4                                            ,   3,   4,   13.36,    0.01,  150.00,    8.91,    0.00,    0.00,    0.00,    0.00,    0.36,    0.00
MEDIA ,  18,Stage01     ,    5,l3_4                                            ,   3,   4,   14.30,    0.01,  150.00,    9.53,    0.00,    0.00,    0.00,    0.00,    0.38,    0.00
MEDIA ,  19,Stage01     ,    5,l3_4                                            ,   3,   4,   16.17,    0.02,  150.00,   10.78,    0.00,    0.00,    0.00,    0.00,    0.43,    0.00
MEDIA ,  20,Stage01     ,    5,l3_4                                            ,   3,   4,   17.87,    0.02,  150.00,   11.91,    0.00,    0.00,    0.00,    0.00,    0.48,    0.00
MEDIA ,  21,Stage01     ,    5,l3_4                                            ,   3,   4,   17.23,    0.02,  150.00,   11.49,    0.00,    0.00,    0.00,    0.00,    0.46,    0.00
MEDIA ,  22,Stage01     ,    5,l3_4                                            ,   3,   4,   15.53,    0.02,  150.00,   10.35,    0.00,    0.00,    0.00,    0.00,    0.42,    0.00
MEDIA ,  23,Stage01     ,    5,l3_4                                            ,   3,   4,   11.70,    0.01,  150.00,    7.80,    0.00,    0.00,    0.00,    0.00,    0.31,    0.00
MEDIA ,  24,Stage01     ,    5,l3_4                                            ,   3,   4,    7.23,    0.01,  150.00,    4.82,    0.00,    0.00,    0.00,    0.00,    0.19,    0.00
