# Archivo con la duracion de los bloques
# Bloques
     510
# Bloque   Etapa   NHoras  Ano   Mes  TipoBloque
    158    016      021    001    007    'Bloque 08'
    159    016      021    001    007    'Bloque 09'
    160    016      007    001    007    'Bloque 10'
    161    017      008    001    007    'Bloque 01'
    162    017      008    001    007    'Bloque 02'
    163    017      032    001    007    'Bloque 03'
    164    017      008    001    007    'Bloque 04'
    165    017      008    001    007    'Bloque 05'
    166    017      008    001    007    'Bloque 06'
    167    017      064    001    007    'Bloque 07'
    168    017      024    001    007    'Bloque 08'
    169    017      024    001    007    'Bloque 09'
    170    017      008    001    007    'Bloque 10'
    171    018      008    001    007    'Bloque 01'
    172    018      008    001    007    'Bloque 02'
    173    018      032    001    007    'Bloque 03'
    174    018      008    001    007    'Bloque 04'
    175    018      008    001    007    'Bloque 05'
    176    018      008    001    007    'Bloque 06'
    177    018      064    001    007    'Bloque 07'
    178    018      024    001    007    'Bloque 08'
    179    018      024    001    007    'Bloque 09'
    180    018      008    001    007    'Bloque 10'
    181    019      008    001    007    'Bloque 01'
    182    019      008    001    007    'Bloque 02'
    183    019      032    001    007    'Bloque 03'
    184    019      016    001    007    'Bloque 04'
    185    019      008    001    007    'Bloque 05'
    186    019      008    001    007    'Bloque 06'
    187    019      048    001    007    'Bloque 07'
    188    019      032    001    007    'Bloque 08'
    189    019      024    001    007    'Bloque 09'
    190    019      008    001    007    'Bloque 10'
    191    020      007    001    008    'Bloque 01'
    192    020      007    001    008    'Bloque 02'
    193    020      035    001    008    'Bloque 03'
    194    020      007    001    008    'Bloque 04'
    195    020      007    001    008    'Bloque 05'
    196    020      014    001    008    'Bloque 06'
    197    020      042    001    008    'Bloque 07'
    198    020      021    001    008    'Bloque 08'
    199    020      021    001    008    'Bloque 09'
    200    020      007    001    008    'Bloque 10'
    201    021      008    001    008    'Bloque 01'
    202    021      008    001    008    'Bloque 02'
    203    021      032    001    008    'Bloque 03'
    204    021      016    001    008    'Bloque 04'
    205    021      008    001    008    'Bloque 05'
    206    021      016    001    008    'Bloque 06'
    207    021      048    001    008    'Bloque 07'
    208    021      024    001    008    'Bloque 08'
    209    021      024    001    008    'Bloque 09'
    210    021      008    001    008    'Bloque 10'
    211    022      007    001    008    'Bloque 01'
    212    022      007    001    008    'Bloque 02'
    213    022      028    001    008    'Bloque 03'
    214    022      014    001    008    'Bloque 04'
    215    022      007    001    008    'Bloque 05'
    216    022      014    001    008    'Bloque 06'
    217    022      042    001    008    'Bloque 07'
    218    022      021    001    008    'Bloque 08'
    219    022      021    001    008    'Bloque 09'
    220    022      007    001    008    'Bloque 10'
    221    023      008    001    008    'Bloque 01'
    222    023      008    001    008    'Bloque 02'
    223    023      040    001    008    'Bloque 03'
    224    023      008    001    008    'Bloque 04'
    225    023      008    001    008    'Bloque 05'
    226    023      016    001    008    'Bloque 06'
    227    023      048    001    008    'Bloque 07'
    228    023      024    001    008    'Bloque 08'
    229    023      024    001    008    'Bloque 09'
    230    023      008    001    008    'Bloque 10'
    231    024      031    001    009    'Bloque 01'
    232    024      031    001    009    'Bloque 02'
    233    024      155    001    009    'Bloque 03'
    234    024      031    001    009    'Bloque 04'
    235    024      031    001    009    'Bloque 05'
    236    024      031    001    009    'Bloque 06'
    237    024      062    001    009    'Bloque 07'
    238    024      155    001    009    'Bloque 08'
    239    024      186    001    009    'Bloque 09'
    240    024      031    001    009    'Bloque 10'
    241    025      031    001    010    'Bloque 01'
    242    025      031    001    010    'Bloque 02'
    243    025      186    001    010    'Bloque 03'
    244    025      031    001    010    'Bloque 04'
    245    025      031    001    010    'Bloque 05'
    246    025      031    001    010    'Bloque 06'
    247    025      062    001    010    'Bloque 07'
    248    025      155    001    010    'Bloque 08'
    249    025      155    001    010    'Bloque 09'
    250    025      031    001    010    'Bloque 10'
    251    026      028    001    011    'Bloque 01'
    252    026      028    001    011    'Bloque 02'
    253    026      168    001    011    'Bloque 03'
    254    026      028    001    011    'Bloque 04'
    255    026      028    001    011    'Bloque 05'
    256    026      028    001    011    'Bloque 06'
    257    026      056    001    011    'Bloque 07'
    258    026      140    001    011    'Bloque 08'
    259    026      140    001    011    'Bloque 09'
    260    026      028    001    011    'Bloque 10'
    261    027      031    001    012    'Bloque 01'
    262    027      031    001    012    'Bloque 02'
    263    027      124    001    012    'Bloque 03'
    264    027      031    001    012    'Bloque 04'
    265    027      062    001    012    'Bloque 05'
    266    027      031    001    012    'Bloque 06'
    267    027      062    001    012    'Bloque 07'
    268    027      186    001    012    'Bloque 08'
    269    027      155    001    012    'Bloque 09'
    270    027      031    001    012    'Bloque 10'
    271    028      030    002    001    'Bloque 01'
    272    028      060    002    001    'Bloque 02'
    273    028      120    002    001    'Bloque 03'
    274    028      060    002    001    'Bloque 04'
    275    028      030    002    001    'Bloque 05'
    276    028      030    002    001    'Bloque 06'
    277    028      210    002    001    'Bloque 07'
    278    028      060    002    001    'Bloque 08'
    279    028      060    002    001    'Bloque 09'
    280    028      060    002    001    'Bloque 10'
    281    029      031    002    002    'Bloque 01'
    282    029      031    002    002    'Bloque 02'
    283    029      124    002    002    'Bloque 03'
    284    029      031    002    002    'Bloque 04'
    285    029      031    002    002    'Bloque 05'
    286    029      031    002    002    'Bloque 06'
    287    029      031    002    002    'Bloque 07'
    288    029      372    002    002    'Bloque 08'
    289    029      031    002    002    'Bloque 09'
    290    029      031    002    002    'Bloque 10'
    291    030      030    002    003    'Bloque 01'
    292    030      030    002    003    'Bloque 02'
    293    030      120    002    003    'Bloque 03'
    294    030      030    002    003    'Bloque 04'
    295    030      030    002    003    'Bloque 05'
    296    030      030    002    003    'Bloque 06'
    297    030      270    002    003    'Bloque 07'
    298    030      090    002    003    'Bloque 08'
    299    030      060    002    003    'Bloque 09'
    300    030      030    002    003    'Bloque 10'
    301    031      031    002    004    'Bloque 01'
    302    031      031    002    004    'Bloque 02'
    303    031      124    002    004    'Bloque 03'
    304    031      031    002    004    'Bloque 04'
    305    031      031    002    004    'Bloque 05'
    306    031      031    002    004    'Bloque 06'
    307    031      031    002    004    'Bloque 07'
    308    031      248    002    004    'Bloque 08'
    309    031      155    002    004    'Bloque 09'
    310    031      031    002    004    'Bloque 10'
    311    032      031    002    005    'Bloque 01'
    312    032      031    002    005    'Bloque 02'
    313    032      124    002    005    'Bloque 03'
    314    032      031    002    005    'Bloque 04'
    315    032      031    002    005    'Bloque 05'
    316    032      031    002    005    'Bloque 06'
    317    032      310    002    005    'Bloque 07'
    318    032      062    002    005    'Bloque 08'
    319    032      062    002    005    'Bloque 09'
    320    032      031    002    005    'Bloque 10'
    321    033      060    002    006    'Bloque 01'
    322    033      120    002    006    'Bloque 02'
    323    033      030    002    006    'Bloque 03'
    324    033      030    002    006    'Bloque 04'
    325    033      030    002    006    'Bloque 05'
    326    033      030    002    006    'Bloque 06'
    327    033      210    002    006    'Bloque 07'
    328    033      090    002    006    'Bloque 08'
    329    033      090    002    006    'Bloque 09'
    330    033      030    002    006    'Bloque 10'
    331    034      031    002    007    'Bloque 01'
    332    034      031    002    007    'Bloque 02'
    333    034      124    002    007    'Bloque 03'
    334    034      031    002    007    'Bloque 04'
    335    034      031    002    007    'Bloque 05'
    336    034      031    002    007    'Bloque 06'
    337    034      248    002    007    'Bloque 07'
    338    034      093    002    007    'Bloque 08'
    339    034      093    002    007    'Bloque 09'
    340    034      031    002    007    'Bloque 10'
    341    035      030    002    008    'Bloque 01'
    342    035      030    002    008    'Bloque 02'
    343    035      120    002    008    'Bloque 03'
    344    035      060    002    008    'Bloque 04'
    345    035      030    002    008    'Bloque 05'
    346    035      060    002    008    'Bloque 06'
    347    035      180    002    008    'Bloque 07'
    348    035      090    002    008    'Bloque 08'
    349    035      090    002    008    'Bloque 09'
    350    035      030    002    008    'Bloque 10'
    351    036      031    002    009    'Bloque 01'
    352    036      031    002    009    'Bloque 02'
    353    036      155    002    009    'Bloque 03'
    354    036      031    002    009    'Bloque 04'
    355    036      031    002    009    'Bloque 05'
    356    036      031    002    009    'Bloque 06'
    357    036      062    002    009    'Bloque 07'
    358    036      155    002    009    'Bloque 08'
    359    036      186    002    009    'Bloque 09'
    360    036      031    002    009    'Bloque 10'
    361    037      031    002    010    'Bloque 01'
    362    037      031    002    010    'Bloque 02'
    363    037      186    002    010    'Bloque 03'
    364    037      031    002    010    'Bloque 04'
    365    037      031    002    010    'Bloque 05'
    366    037      031    002    010    'Bloque 06'
    367    037      062    002    010    'Bloque 07'
    368    037      155    002    010    'Bloque 08'
    369    037      155    002    010    'Bloque 09'
    370    037      031    002    010    'Bloque 10'
    371    038      028    002    011    'Bloque 01'
    372    038      028    002    011    'Bloque 02'
    373    038      168    002    011    'Bloque 03'
    374    038      028    002    011    'Bloque 04'
    375    038      028    002    011    'Bloque 05'
    376    038      028    002    011    'Bloque 06'
    377    038      056    002    011    'Bloque 07'
    378    038      140    002    011    'Bloque 08'
    379    038      140    002    011    'Bloque 09'
    380    038      028    002    011    'Bloque 10'
    381    039      031    002    012    'Bloque 01'
    382    039      031    002    012    'Bloque 02'
    383    039      124    002    012    'Bloque 03'
    384    039      031    002    012    'Bloque 04'
    385    039      062    002    012    'Bloque 05'
    386    039      031    002    012    'Bloque 06'
    387    039      062    002    012    'Bloque 07'
    388    039      186    002    012    'Bloque 08'
    389    039      155    002    012    'Bloque 09'
    390    039      031    002    012    'Bloque 10'
    391    040      030    003    001    'Bloque 01'
    392    040      060    003    001    'Bloque 02'
    393    040      120    003    001    'Bloque 03'
    394    040      060    003    001    'Bloque 04'
    395    040      030    003    001    'Bloque 05'
    396    040      030    003    001    'Bloque 06'
    397    040      210    003    001    'Bloque 07'
    398    040      060    003    001    'Bloque 08'
    399    040      060    003    001    'Bloque 09'
    400    040      060    003    001    'Bloque 10'
    401    041      031    003    002    'Bloque 01'
    402    041      031    003    002    'Bloque 02'
    403    041      124    003    002    'Bloque 03'
    404    041      031    003    002    'Bloque 04'
    405    041      031    003    002    'Bloque 05'
    406    041      031    003    002    'Bloque 06'
    407    041      279    003    002    'Bloque 07'
    408    041      124    003    002    'Bloque 08'
    409    041      031    003    002    'Bloque 09'
    410    041      031    003    002    'Bloque 10'
    411    042      030    003    003    'Bloque 01'
    412    042      030    003    003    'Bloque 02'
    413    042      120    003    003    'Bloque 03'
    414    042      030    003    003    'Bloque 04'
    415    042      030    003    003    'Bloque 05'
    416    042      030    003    003    'Bloque 06'
    417    042      270    003    003    'Bloque 07'
    418    042      090    003    003    'Bloque 08'
    419    042      060    003    003    'Bloque 09'
    420    042      030    003    003    'Bloque 10'
    421    043      031    003    004    'Bloque 01'
    422    043      031    003    004    'Bloque 02'
    423    043      124    003    004    'Bloque 03'
    424    043      031    003    004    'Bloque 04'
    425    043      031    003    004    'Bloque 05'
    426    043      031    003    004    'Bloque 06'
    427    043      031    003    004    'Bloque 07'
    428    043      248    003    004    'Bloque 08'
    429    043      155    003    004    'Bloque 09'
    430    043      031    003    004    'Bloque 10'
    431    044      031    003    005    'Bloque 01'
    432    044      031    003    005    'Bloque 02'
    433    044      124    003    005    'Bloque 03'
    434    044      031    003    005    'Bloque 04'
    435    044      031    003    005    'Bloque 05'
    436    044      031    003    005    'Bloque 06'
    437    044      310    003    005    'Bloque 07'
    438    044      062    003    005    'Bloque 08'
    439    044      062    003    005    'Bloque 09'
    440    044      031    003    005    'Bloque 10'
    441    045      060    003    006    'Bloque 01'
    442    045      120    003    006    'Bloque 02'
    443    045      030    003    006    'Bloque 03'
    444    045      030    003    006    'Bloque 04'
    445    045      030    003    006    'Bloque 05'
    446    045      030    003    006    'Bloque 06'
    447    045      210    003    006    'Bloque 07'
    448    045      090    003    006    'Bloque 08'
    449    045      090    003    006    'Bloque 09'
    450    045      030    003    006    'Bloque 10'
    451    046      031    003    007    'Bloque 01'
    452    046      031    003    007    'Bloque 02'
    453    046      124    003    007    'Bloque 03'
    454    046      062    003    007    'Bloque 04'
    455    046      031    003    007    'Bloque 05'
    456    046      031    003    007    'Bloque 06'
    457    046      186    003    007    'Bloque 07'
    458    046      124    003    007    'Bloque 08'
    459    046      093    003    007    'Bloque 09'
    460    046      031    003    007    'Bloque 10'
    461    047      030    003    008    'Bloque 01'
    462    047      030    003    008    'Bloque 02'
    463    047      120    003    008    'Bloque 03'
    464    047      060    003    008    'Bloque 04'
    465    047      030    003    008    'Bloque 05'
    466    047      060    003    008    'Bloque 06'
    467    047      180    003    008    'Bloque 07'
    468    047      090    003    008    'Bloque 08'
    469    047      090    003    008    'Bloque 09'
    470    047      030    003    008    'Bloque 10'
    471    048      031    003    009    'Bloque 01'
    472    048      031    003    009    'Bloque 02'
    473    048      155    003    009    'Bloque 03'
    474    048      031    003    009    'Bloque 04'
    475    048      031    003    009    'Bloque 05'
    476    048      031    003    009    'Bloque 06'
    477    048      062    003    009    'Bloque 07'
    478    048      155    003    009    'Bloque 08'
    479    048      186    003    009    'Bloque 09'
    480    048      031    003    009    'Bloque 10'
    481    049      031    003    010    'Bloque 01'
    482    049      031    003    010    'Bloque 02'
    483    049      186    003    010    'Bloque 03'
    484    049      031    003    010    'Bloque 04'
    485    049      031    003    010    'Bloque 05'
    486    049      031    003    010    'Bloque 06'
    487    049      062    003    010    'Bloque 07'
    488    049      155    003    010    'Bloque 08'
    489    049      155    003    010    'Bloque 09'
    490    049      031    003    010    'Bloque 10'
    491    050      028    003    011    'Bloque 01'
    492    050      028    003    011    'Bloque 02'
    493    050      168    003    011    'Bloque 03'
    494    050      028    003    011    'Bloque 04'
    495    050      028    003    011    'Bloque 05'
    496    050      028    003    011    'Bloque 06'
    497    050      056    003    011    'Bloque 07'
    498    050      140    003    011    'Bloque 08'
    499    050      140    003    011    'Bloque 09'
    500    050      028    003    011    'Bloque 10'
    501    051      031    003    012    'Bloque 01'
    502    051      031    003    012    'Bloque 02'
    503    051      124    003    012    'Bloque 03'
    504    051      031    003    012    'Bloque 04'
    505    051      062    003    012    'Bloque 05'
    506    051      031    003    012    'Bloque 06'
    507    051      062    003    012    'Bloque 07'
    508    051      186    003    012    'Bloque 08'
    509    051      155    003    012    'Bloque 09'
    510    051      031    003    012    'Bloque 10'
