# Archivo de precios de termicas (plpcosce.dat)
# Numero de centrales termicas con cambio de costo variable
 200 
# Nombre de la central
'CMPC_PACIFICO_BL3'
# Numero de etapas
    48
# Mes   Etapa    CosVar
   08     035     066.9
   09     036     066.8
   10     037     066.8
   11     038     066.8
   12     039     066.8
   01     040     066.7
   02     041     066.7
   03     042     066.7
   04     043     066.7
   05     044     066.6
   06     045     066.6
   07     046     066.6
   08     047     066.5
   09     048     066.5
   10     049     066.5
   11     050     066.5
   12     051     066.4
# Nombre de la central
'GUACOLDA_1'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     066.5
   04     006     058.7
   04     007     058.7
   05     008     087.5
   05     009     087.5
   05     010     087.5
   05     011     087.5
   06     012     076.9
   06     013     076.9
   06     014     076.9
   06     015     076.9
   07     016     073.0
   07     017     073.0
   07     018     073.0
   07     019     073.0
   08     020     074.8
   08     021     074.8
   08     022     074.8
   08     023     074.8
   09     024     087.1
   10     025     083.6
   11     026     086.3
   12     027     088.2
   01     028     085.6
   02     029     085.5
   03     030     085.7
   04     031     085.9
   05     032     086.1
   06     033     086.4
   07     034     086.8
   08     035     087.1
   09     036     087.1
   10     037     087.1
   11     038     087.0
   12     039     087.0
   01     040     087.0
   02     041     086.9
   03     042     086.9
   04     043     086.9
   05     044     086.8
   06     045     086.8
   07     046     086.8
   08     047     086.7
   09     048     086.7
   10     049     086.7
   11     050     086.6
   12     051     086.6
# Nombre de la central
'GUACOLDA_2'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     065.8
   04     006     058.9
   04     007     058.9
   05     008     088.3
   05     009     088.3
   05     010     088.3
   05     011     088.3
   06     012     077.5
   06     013     077.5
   06     014     077.5
   06     015     077.5
   07     016     073.4
   07     017     073.4
   07     018     073.4
   07     019     073.4
   08     020     075.3
   08     021     075.3
   08     022     075.3
   08     023     075.3
   09     024     087.9
   10     025     084.3
   11     026     087.0
   12     027     089.0
   01     028     086.3
   02     029     086.2
   03     030     086.4
   04     031     086.6
   05     032     086.8
   06     033     087.2
   07     034     087.5
   08     035     087.9
   09     036     087.8
   10     037     087.8
   11     038     087.8
   12     039     087.7
   01     040     087.7
   02     041     087.7
   03     042     087.6
   04     043     087.6
   05     044     087.6
   06     045     087.5
   07     046     087.5
   08     047     087.5
   09     048     087.4
   10     049     087.4
   11     050     087.4
   12     051     087.3
# Nombre de la central
'GUACOLDA_3'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     067.7
   04     006     064.5
   04     007     064.5
   05     008     076.2
   05     009     076.2
   05     010     076.2
   05     011     076.2
   06     012     069.2
   06     013     069.2
   06     014     069.2
   06     015     069.2
   07     016     066.7
   07     017     066.7
   07     018     066.7
   07     019     066.7
   08     020     068.1
   08     021     068.1
   08     022     068.1
   08     023     068.1
   09     024     076.2
   10     025     073.9
   11     026     075.6
   12     027     076.9
   01     028     075.2
   02     029     075.1
   03     030     075.3
   04     031     075.5
   05     032     075.7
   06     033     076.0
   07     034     076.3
   08     035     076.6
   09     036     076.6
   10     037     076.5
   11     038     076.5
   12     039     076.5
   01     040     076.5
   02     041     076.4
   03     042     076.4
   04     043     076.4
   05     044     076.3
   06     045     076.3
   07     046     076.3
   08     047     076.2
   09     048     076.2
   10     049     076.2
   11     050     076.2
   12     051     076.1
# Nombre de la central
'GUACOLDA_4'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     071.0
   04     006     067.8
   04     007     067.8
   05     008     085.9
   05     009     085.9
   05     010     085.9
   05     011     085.9
   06     012     075.8
   06     013     075.8
   06     014     075.8
   06     015     075.8
   07     016     072.0
   07     017     072.0
   07     018     072.0
   07     019     072.0
   08     020     073.8
   08     021     073.8
   08     022     073.8
   08     023     073.8
   09     024     085.5
   10     025     082.2
   11     026     084.7
   12     027     086.5
   01     028     084.0
   02     029     084.0
   03     030     084.2
   04     031     084.4
   05     032     084.6
   06     033     084.9
   07     034     085.2
   08     035     085.6
   09     036     085.5
   10     037     085.5
   11     038     085.5
   12     039     085.4
   01     040     085.4
   02     041     085.4
   03     042     085.3
   04     043     085.3
   05     044     085.3
   06     045     085.2
   07     046     085.2
   08     047     085.2
   09     048     085.1
   10     049     085.1
   11     050     085.1
   12     051     085.0
# Nombre de la central
'GUACOLDA_5'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     062.8
   04     006     067.8
   04     007     067.8
   05     008     077.5
   05     009     077.5
   05     010     077.5
   05     011     077.5
   06     012     067.8
   06     013     067.8
   06     014     067.8
   06     015     067.8
   07     016     064.2
   07     017     064.2
   07     018     064.2
   07     019     064.2
   08     020     065.9
   08     021     065.9
   08     022     065.9
   08     023     065.9
   09     024     077.1
   10     025     073.9
   11     026     076.3
   12     027     078.1
   01     028     075.7
   02     029     075.7
   03     030     075.9
   04     031     076.1
   05     032     076.2
   06     033     076.5
   07     034     076.8
   08     035     077.2
   09     036     077.1
   10     037     077.1
   11     038     077.1
   12     039     077.0
   01     040     077.0
   02     041     077.0
   03     042     077.0
   04     043     076.9
   05     044     076.9
   06     045     076.9
   07     046     076.8
   08     047     076.8
   09     048     076.8
   10     049     076.7
   11     050     076.7
   12     051     076.7
# Nombre de la central
'HORNITOS'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     068.0
   04     006     053.6
   04     007     053.6
   05     008     054.9
   05     009     054.9
   05     010     054.9
   05     011     054.9
   06     012     053.9
   06     013     053.9
   06     014     053.9
   06     015     053.9
   07     016     056.8
   07     017     056.8
   07     018     056.8
   07     019     056.8
   08     020     057.5
   08     021     057.5
   08     022     057.5
   08     023     057.5
   09     024     057.7
   10     025     057.3
   11     026     056.8
   12     027     056.6
   01     028     056.6
   02     029     056.5
   03     030     056.6
   04     031     056.8
   05     032     056.9
   06     033     057.1
   07     034     057.3
   08     035     057.5
   09     036     057.5
   10     037     057.4
   11     038     057.4
   12     039     057.4
   01     040     057.4
   02     041     057.4
   03     042     057.3
   04     043     057.3
   05     044     057.3
   06     045     057.3
   07     046     057.3
   08     047     057.2
   09     048     057.2
   10     049     057.2
   11     050     057.2
   12     051     057.2
# Nombre de la central
'IE_MEJILLONES'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     061.2
   04     006     048.5
   04     007     048.5
   05     008     045.2
   05     009     045.2
   05     010     045.2
   05     011     045.2
   06     012     046.8
   06     013     046.8
   06     014     046.8
   06     015     046.8
   07     016     046.3
   07     017     046.3
   07     018     046.3
   07     019     046.3
   08     020     044.3
   08     021     044.3
   08     022     044.3
   08     023     044.3
   09     024     044.8
   10     025     044.6
   11     026     044.7
   12     027     044.7
   01     028     044.6
   02     029     044.6
   03     030     044.7
   04     031     044.8
   05     032     044.9
   06     033     045.1
   07     034     045.3
   08     035     045.4
   09     036     045.4
   10     037     045.4
   11     038     045.4
   12     039     045.4
   01     040     045.4
   02     041     045.3
   03     042     045.3
   04     043     045.3
   05     044     045.3
   06     045     045.3
   07     046     045.3
   08     047     045.2
   09     048     045.2
   10     049     045.2
   11     050     045.2
   12     051     045.2
# Nombre de la central
'MEJILLONES_1'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     128.0
   04     006     071.2
   04     007     071.2
   05     008     071.2
   05     009     071.2
   05     010     071.2
   05     011     071.2
   06     012     071.2
   06     013     071.2
   06     014     071.2
   06     015     071.2
   07     016     071.2
   07     017     071.2
   07     018     071.2
   07     019     071.2
   08     020     071.2
   08     021     071.2
   08     022     071.2
   08     023     071.2
   09     024     071.2
   10     025     071.2
   11     026     071.2
   12     027     071.2
   01     028     071.2
   02     029     071.2
   03     030     071.3
   04     031     071.5
   05     032     071.7
   06     033     071.9
   07     034     072.2
   08     035     072.5
   09     036     072.4
   10     037     072.4
   11     038     072.4
   12     039     072.3
   01     040     072.3
   02     041     072.3
   03     042     072.3
   04     043     072.2
   05     044     072.2
   06     045     072.2
   07     046     072.2
   08     047     072.1
   09     048     072.1
   10     049     072.1
   11     050     072.1
   12     051     072.0
# Nombre de la central
'MEJILLONES_2'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     124.5
   04     006     069.1
   04     007     069.1
   05     008     069.1
   05     009     069.1
   05     010     069.1
   05     011     069.1
   06     012     069.1
   06     013     069.1
   06     014     069.1
   06     015     069.1
   07     016     069.1
   07     017     069.1
   07     018     069.1
   07     019     069.1
   08     020     069.1
   08     021     069.1
   08     022     069.1
   08     023     069.1
   09     024     069.1
   10     025     069.1
   11     026     069.1
   12     027     069.1
   01     028     069.1
   02     029     069.1
   03     030     069.2
   04     031     069.4
   05     032     069.6
   06     033     069.8
   07     034     070.1
   08     035     070.3
   09     036     070.3
   10     037     070.3
   11     038     070.3
   12     039     070.2
   01     040     070.2
   02     041     070.2
   03     042     070.2
   04     043     070.1
   05     044     070.1
   06     045     070.1
   07     046     070.1
   08     047     070.0
   09     048     070.0
   10     049     070.0
   11     050     069.9
   12     051     069.9
# Nombre de la central
'NUEVA_VENTANAS'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     078.1
   04     006     057.4
   04     007     057.4
   05     008     056.2
   05     009     056.2
   05     010     056.2
   05     011     056.2
   06     012     057.3
   06     013     057.3
   06     014     057.3
   06     015     057.3
   07     016     058.8
   07     017     058.8
   07     018     058.8
   07     019     058.8
   08     020     060.6
   08     021     060.6
   08     022     060.6
   08     023     060.6
   09     024     060.6
   10     025     060.6
   11     026     060.6
   12     027     060.6
   01     028     057.9
   02     029     060.0
   03     030     060.2
   04     031     060.3
   05     032     060.4
   06     033     060.6
   07     034     060.9
   08     035     061.1
   09     036     061.1
   10     037     061.1
   11     038     061.1
   12     039     061.0
   01     040     061.0
   02     041     061.0
   03     042     061.0
   04     043     060.9
   05     044     060.9
   06     045     060.9
   07     046     060.9
   08     047     060.8
   09     048     060.8
   10     049     060.8
   11     050     060.8
   12     051     060.8
# Nombre de la central
'SANTA_MARIA'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     063.1
   04     006     051.9
   04     007     051.9
   05     008     047.3
   05     009     047.3
   05     010     047.3
   05     011     047.3
   06     012     053.8
   06     013     053.8
   06     014     053.8
   06     015     053.8
   07     016     048.2
   07     017     048.2
   07     018     048.2
   07     019     048.2
   08     020     048.2
   08     021     048.2
   08     022     048.2
   08     023     048.2
   09     024     044.3
   10     025     044.4
   11     026     046.9
   12     027     049.6
   01     028     053.8
   02     029     053.8
   03     030     053.9
   04     031     054.0
   05     032     054.1
   06     033     054.3
   07     034     054.5
   08     035     054.8
