# Archivo de mantenimientos embalses (plpmanem.dat)
# Numero de embalses con mantenimientos
 5
# Nombre del embalse
'COLBUN'
#   Numero de Etapas con mantenimiento
    51
#   Mes   Etapa     VolMin     VolMax
     11     050  0.4497390  1.0653785
     12     051  0.4497390  1.0653785
# Nombre del embalse
'RALCO'
#   Numero de Etapas con mantenimiento
    51
#   Mes   Etapa     VolMin     VolMax
     03     001  0.5323485  1.1732862
     03     002  0.5007565  1.1732862
     03     003  0.4705246  1.1732862
     04     004  0.4416212  1.1732862
     04     005  0.4094096  1.1732862
     04     006  0.4094096  1.1732862
     04     007  0.4094096  1.1732862
     05     008  0.4094096  1.1732862
     05     009  0.4094096  1.1732862
     05     010  0.4094096  1.1732862
     05     011  0.4094096  1.1732862
     06     012  0.4094096  1.1732862
     06     013  0.4094096  1.1732862
     06     014  0.4094096  1.1732862
     06     015  0.4094096  1.1732862
     07     016  0.4094096  1.1732862
     07     017  0.4094096  1.1732862
     07     018  0.4094096  1.1732862
     07     019  0.4094096  1.1732862
     08     020  0.4094096  1.1732862
     08     021  0.4094096  1.1732862
     08     022  0.4094096  1.1732862
     08     023  0.4094096  1.1732862
     09     024  0.4094096  1.1732862
     10     025  0.4094096  1.1732862
     11     026  0.4094096  1.1732862
     12     027  0.4094096  1.1732862
     01     028  0.4094096  1.1732862
     02     029  0.4094096  1.1732862
     03     030  0.4094096  1.1732862
     04     031  0.4094096  1.1732862
     05     032  0.4094096  1.1732862
     06     033  0.4094096  1.1732862
     07     034  0.4094096  1.1732862
     08     035  0.4094096  1.1732862
     09     036  0.4094096  1.1732862
     10     037  0.4094096  1.1732862
     11     038  0.4094096  1.1732862
     12     039  0.4094096  1.1732862
     01     040  0.4094096  1.1732862
     02     041  0.4094096  1.1732862
     03     042  0.4094096  1.1732862
     04     043  0.4094096  1.1732862
     05     044  0.4094096  1.1732862
     06     045  0.4094096  1.1732862
     07     046  0.4094096  1.1732862
     08     047  0.4094096  1.1732862
     09     048  0.4094096  1.1732862
     10     049  0.4094096  1.1732862
     11     050  0.4094096  1.1732862
     12     051  0.4094096  1.1732862
# Nombre del embalse
'PANGUE'
#   Numero de Etapas con mantenimiento
    51
#   Mes   Etapa     VolMin     VolMax
     03     001  0.6230240  0.7196000
     03     002  0.6230240  0.7196000
     03     003  0.5758340  0.7196000
     04     004  0.5758340  0.7196000
     04     005  0.5758340  0.7196000
     04     006  0.5758340  0.7196000
     04     007  0.5758340  0.7196000
     05     008  0.5758340  0.7196000
     05     009  0.5758340  0.7196000
     05     010  0.5758340  0.7196000
     05     011  0.5758340  0.7196000
     06     012  0.5758340  0.7196000
     06     013  0.5758340  0.7196000
     06     014  0.5758340  0.7196000
     06     015  0.5758340  0.7196000
     07     016  0.5758340  0.7196000
     07     017  0.5758340  0.7196000
     07     018  0.5758340  0.7196000
     07     019  0.5758340  0.7196000
     08     020  0.5758340  0.7196000
     08     021  0.5758340  0.7196000
     08     022  0.5758340  0.7196000
     08     023  0.5758340  0.7196000
     09     024  0.5758340  0.7196000
     10     025  0.5758340  0.7196000
     11     026  0.5758340  0.7196000
     12     027  0.5758340  0.7196000
     01     028  0.5758340  0.7196000
     02     029  0.5758340  0.7196000
     03     030  0.5758340  0.7196000
     04     031  0.5758340  0.7196000
     05     032  0.5758340  0.7196000
     06     033  0.5758340  0.7196000
     07     034  0.5758340  0.7196000
     08     035  0.5758340  0.7196000
     09     036  0.5758340  0.7196000
     10     037  0.5758340  0.7196000
     11     038  0.5758340  0.7196000
     12     039  0.5758340  0.7196000
     01     040  0.5758340  0.7196000
     02     041  0.5758340  0.7196000
     03     042  0.5758340  0.7196000
     04     043  0.5758340  0.7196000
     05     044  0.5758340  0.7196000
     06     045  0.5758340  0.7196000
     07     046  0.5758340  0.7196000
     08     047  0.5758340  0.7196000
     09     048  0.5758340  0.7196000
     10     049  0.5758340  0.7196000
     11     050  0.5758340  0.7196000
     12     051  0.5758340  0.7196000
