# Archivo de configuracion de lineas (plpcnfli.dat)
# Num.Lineas 330   Modela Perdidas  Perd.en.ERM   Ang. de Ref.
         330          T             'M'         1000.d0
# Caracteristicas de las Lineas
# Nombre                                              F.Max. A-B F.Max. B-A  Barra A  Barra B   Tension  R(Ohm)  X(ohm)   Mod.Perd.  Num.Tramos   Operativa
'Esmeralda220->Esmeralda110'                         195.0      195.0       38       37     220.0   0.000  34.945      F           3            T
'GasAta220->Esmeralda220'                            197.0      197.0        7       38     220.0   6.208  28.438      T           3            T
'Guacolda220->Maitenc220'                            971.7      971.7       40       53     220.0   0.446   3.640      T           3            T
'Illapa220->Cumbre220'                               701.0      701.0      218      219     220.0   0.545   4.640      T           3            T
'Cumbre500->Cumbre220'                               750.0      750.0       23      219     220.0   0.500  48.750      T           3            T
'CarreraPinto220->Illapa220'                         825.0      825.0       20      218     220.0   1.299   6.660      T           3            T
'Illapa220->DAlmagro220'                             731.6      731.6      218       25     220.0   1.142   5.687      T           3            T
'Kapatur220->Laberinto220'                          1673.8     1673.8       42       43     220.0   1.669  18.716      T           3            T
'Kapatur220->Ohiggins220'                           1673.8     1673.8       42       66     220.0   0.852   9.774      T           3            T
'Laberinto220->ElCobre220'                           500.0      500.0       43       32     220.0   0.189   1.036      T           3            T
'Laberinto220->Mantos220'                            300.0      300.0       43       54     220.0   6.328  29.151      T           3            T
'Laberinto220->NvaZald220'                           328.0      328.0       43       64     220.0   3.122  16.679      T           3            T
'Laberinto220->Oeste220'                             290.0      290.0       43       65     220.0   7.692  35.380      T           3            T
'Andes220->Likanantai220'                            228.0      228.0        2      226     220.0   1.021   6.414      T           3            T
'Likanantai220->NuevaZaldivar220'                    350.0      350.0      226       64     220.0   0.970   6.096      T           3            T
'NuevaZaldivar220->Escondida220'                     293.0      293.0       64      229     220.0   1.024   5.602      T           3            T
'NuevaZaldivar220->Sulfuros220'                      293.0      293.0       64      228     220.0   1.296   5.321      T           3            T
'NuevaZaldivar220->OGP1220'                          263.0      263.0       64      227     220.0   2.040  11.600      T           3            T
'Domeyko220->Sulfuros220'                            293.0      293.0       28      228     220.0   0.100   0.409      T           3            T
'Domeyko220->Escondida220'                           246.0      246.0       28      229     220.0   0.692   2.867      T           3            T
'OGP1220->Domeyko220'                                263.0      263.0      227       28     220.0   1.135   6.560      T           3            T
'Ohiggins220->Puri220'                               216.0      216.0       66      231     220.0   9.192  38.143      T           3            T
'Puri220->Domeyko220'                                245.0      245.0      231       28     220.0   4.149  17.217      T           3            T
'Ohiggins220->Farellon220'                           260.0      260.0       66      232     220.0   4.060  16.847      T           3            T
'Farellon220->Domeyko220'                            245.0      245.0      232       28     220.0   9.266  38.449      T           3            T
'LaCebada220->MRedondo220'                           285.3      285.3       44       59     220.0   0.274   1.222      T           3            T
'LaCebada220->PuntaSierra220'                        225.0      225.0       44       74     220.0   1.742   7.696      T           3            T
'Lagunas220->Collahuasi220'                          240.0      240.0       46       17     220.0   4.719  23.740      T           3            T
'Lagunas220->Tarapaca220'                            366.0      366.0       46       81     220.0   1.355  10.938      T           3            T
'LaNegra110->AltoNorte110'                           122.0      122.0       47        1     110.0   0.758   1.882      T           3            T
'LosChangos220->Kapatur220'                         1500.0     1500.0       48       42     220.0   0.145   0.484      T           3            T
'LosChangos500->Cumbre500'                          1410.0     1780.0       49       23     500.0   4.198  18.679      T           3            F
'LosChangos500->Parinas500'                         1410.0     1780.0       49       22     500.0   2.279  11.620      T           3            T
'Parinas500->Cumbre500'                             1410.0     1780.0       22       23     500.0   1.920   7.059      T           3            T
'Parinas500->Parinas220'                             660.0      660.0       22      230     500.0   0.500  48.750      T           3            T
'Parinas220->Likanantai220'                         1700.0     1700.0      230      226     220.0   1.660  19.965      T           3            T
'LosChangos500->Kimal500'                           2300.0     2300.0       49      223     500.0   1.470  19.726      T           3            T
'LosChangos500->LosChangos220'                      2250.0     2250.0       49       48     500.0   0.167  11.133      T           3            T
'LPalmas220->LVilos220'                              450.0      450.0       50       51     220.0   3.485  13.649      T           3            T
'LVilos220->DonaCarmen220'                           224.0      224.0       51       29     220.0   6.392  25.436      T           3            T
'LVilos220->Nogales220_aux'                          224.0      224.0       51      212     220.0   9.390  37.365      T           3            T
'Maitenc110->Cardones110'                             46.7       46.7       52       11     110.0  45.520  63.283      T           3            T
'Maitenc110->Huasco110'                              150.0      150.0       52       41     110.0   5.040   6.658      T           3            T
'Maitenc220->Cardones220'                            840.0      840.0       53       12     220.0   4.414  17.840      T           3            T
'Maitenc220->DonHector220'                           400.0      250.0       53       31     220.0   2.907  11.580      T           3            T
'Maitenc220->Maitenc110'                             180.0      180.0       53       52     220.0   2.517  84.410      T           3            T
'Maitencillo220->PColorada220_II'                    500.0      500.0       53       73     220.0   1.732  15.973      T           3            T
'Mauro220->Quillota220'                              580.0      580.0      209      172     220.0   6.441  29.291      T           3            T
'Desalant110->Mejillones110'                          91.5       91.5       27       56     110.0   8.159  20.357      T           3            T
'Mejillones220->Mejillones110'                       100.0      100.0       57       56     220.0   0.000  64.082      F           3            T
'Mejillones220->OHiggins220'                         242.0      242.0       57       66     220.0   6.282  22.990      T           3            T
'Miraje220->Atacama220'                              366.7      366.7       58        7     220.0   3.276  24.295      T           3            T
'Miraje220->TOEnlace220'                             366.7      366.7       58       82     220.0  15.142  10.533      T           3            T
'MRedondo220->PuntaSierra220'                        285.3      285.3       59       74     220.0   1.452   6.486      T           3            T
'Norgener220->Barriles220'                           474.0      474.0       60        8     220.0   0.822   6.776      T           3            T
'Norgener220->LaCruz220'                             474.0      474.0       60       45     220.0   3.340  24.781      T           3            T
'NvaCardones500->Cardones220'                        930.0      930.0       61       12     500.0   0.250  24.375      T           3            T
'NvaMaitenc500->Maitenc220'                          930.0      930.0       62       53     500.0   0.250  24.375      T           3            T
'NvaMaitenc500->NvaCardones500'                     2356.0     2356.0       62       61     500.0   1.480  17.855      T           3            T
