"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,22.842553191489362,33.007446808510636,6.776595744680848,16.06595744680851,3.9340425531914907
1,1,2,21.097872340425535,30.752127659574473,6.436170212765958,14.661702127659575,3.3382978723404246
1,1,3,20.225531914893615,29.62446808510638,6.265957446808509,13.959574468085105,3.0404255319148943
1,1,4,20.225531914893615,29.62446808510638,6.265957446808509,13.959574468085105,3.0404255319148943
1,1,5,25.080851063829797,38.46914893617023,8.925531914893622,16.155319148936172,1.8446808510638264
1,1,6,22.595744680851062,31.404255319148934,5.872340425531915,16.723404255319146,5.276595744680853
1,1,7,28.51063829787234,39.48936170212766,7.319148936170212,21.19148936170213,6.808510638297872
1,1,8,40.92765957446808,57.922340425531914,11.329787234042556,29.597872340425532,8.402127659574466
1,1,9,55.33617021276597,80.21382978723408,16.58510638297873,38.75106382978724,9.24893617021276
1,1,10,56.48936170212765,78.51063829787233,14.680851063829788,41.808510638297875,13.191489361702127
1,1,11,59.78723404255319,83.2127659574468,15.617021276595748,44.170212765957444,13.82978723404255
1,1,12,63.863829787234046,89.98617021276594,17.414893617021278,46.44893617021276,13.551063829787234
1,1,13,67.63404255319153,96.16595744680858,19.021276595744702,48.612765957446825,13.38723404255318
1,1,14,69.70212765957447,101.29787234042551,21.06382978723404,48.63829787234042,11.361702127659585
1,1,15,63,90,17.999999999999993,45,11.999999999999996
1,1,16,56.48936170212765,78.51063829787233,14.680851063829788,41.808510638297875,13.191489361702127
1,1,17,57.70212765957445,80.29787234042551,15.063829787234045,42.63829787234043,13.361702127659573
1,1,18,67.84680851063831,97.70319148936173,19.904255319148945,47.94255319148937,12.057446808510635
1,1,19,53.72340425531913,89.27659574468086,23.702127659574455,55.02127659574469,12.978723404255312
1,1,20,40.140425531914886,88.45957446808511,32.21276595744682,64.3276595744681,10.672340425531907
1,1,21,39.74468085106382,85.25531914893618,30.34042553191488,61.404255319148945,10.595744680851059
1,1,22,43.829787234042534,81.17021276595744,24.89361702127659,53.936170212765965,11.063829787234036
1,1,23,52.12765957446808,72.87234042553192,13.829787234042554,38.29787234042553,11.702127659574469
1,1,24,36.0340425531915,51.81595744680852,10.521276595744684,25.512765957446806,6.487234042553193
