"scenario","stage","block","uid:1"
1,1,1,18.050000000000004
1,1,2,18.050000000000004
1,1,3,18.050000000000004
1,1,4,18.050000000000004
1,1,5,18.050000000000004
1,1,6,18.050000000000004
1,1,7,18.050000000000004
1,1,8,18.050000000000004
1,1,9,18.050000000000004
1,1,10,18.050000000000004
1,1,11,18.050000000000004
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,18.050000000000004
1,1,17,18.050000000000004
1,1,18,18.050000000000004
1,1,19,20.361232876712325
1,1,20,20.361232876712325
1,1,21,20.361232876712325
1,1,22,20.361232876712325
1,1,23,20.361232876712325
1,1,24,18.050000000000004
