"scenario","stage","block","uid:1"
1,1,1,2.1606648199445972
1,1,2,2.1606648199445972
1,1,3,2.1606648199445972
1,1,4,2.1606648199445972
1,1,5,2.1606648199445972
1,1,6,2.1606648199445972
1,1,7,2.1606648199445972
1,1,8,2.1606648199445972
1,1,9,2.1606648199445972
1,1,10,2.1606648199445972
1,1,11,2.1606648199445972
1,1,12,2.1606648199445972
1,1,13,2.1606648199445972
1,1,14,2.1606648199445972
1,1,15,2.1606648199445972
1,1,16,2.1606648199445972
1,1,17,2.1606648199445972
1,1,18,2.1606648199445972
1,1,19,0
1,1,20,0
1,1,21,0
1,1,22,0
1,1,23,0
1,1,24,0
