"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,19.999999999999993,0,0
1,1,2,0,19.999999999999993,0,0
1,1,3,0,19.999999999999993,0,0
1,1,4,0,19.999999999999993,0,0
1,1,5,0,19.999999999999993,0,0
1,1,6,0,19.999999999999993,0,0
1,1,7,0,19.999999999999993,0,0
1,1,8,0,19.999999999999993,0,0
1,1,9,0,19.999999999999993,0,0
1,1,10,0,19.999999999999993,0,0
1,1,11,0,19.999999999999993,0,0
1,1,12,20,40,0,0
1,1,13,20,40,0,0
1,1,14,20,40,0,0
1,1,15,20,40,0,0
1,1,16,0,19.999999999999993,0,0
1,1,17,0,19.999999999999993,0,0
1,1,18,0,19.999999999999993,0,0
1,1,19,0,0,0,-17.43907714491709
1,1,20,0,0,0,-146.03085796683487
1,1,21,0,0,0,-17.43907714491709
1,1,22,0,0,0,-17.43907714491709
1,1,23,0,14.271232876712222,0,-3.1678442682048678
1,1,24,0,19.999999999999993,0,0
