uid,lmp_avg,lmp_min,lmp_max,name,plx_lmp,dlmp,adlmp
1,50.99751206806728,32.46295166015625,59.32234573364258,AJahuel110,45.95450855074099,5.043003517326291,5.043003517326291
2,63.12956621533348,32.3679313659668,244.1966552734375,AJahuel154,0.0,63.12956621533348,63.12956621533348
3,50.976654938289094,32.46342468261719,59.25341796875,AJahuel220,45.98089072500403,4.995764213285064,4.995764213285064
4,50.269008772713796,32.34098434448242,57.508235931396484,AJahuel500,0.0,50.269008772713796,50.269008772713796
5,50.85915018263317,32.67034912109375,58.86767578125,Alfalfal220,0.0,50.85915018263317,50.85915018263317
6,51.37736654281616,33.01509475708008,59.60391616821289,Almendros110,46.41300877721866,4.964357765597505,4.964357765597505
7,51.13827417010353,32.770347595214844,59.38911056518555,Almendros220,46.14368260875021,4.994591561353317,4.994591561353317
8,467.19000244140625,467.19000244140625,467.19000244140625,AltoNorte110,42.71316967939953,424.4768327620067,424.4768327620067
9,51.15978106998262,31.710372924804688,59.95802307128906,AMelipilla220,46.304965514002895,4.854815555979727,4.854815555979727
10,48.92837008975801,31.732524871826172,53.88307571411133,Ancoa220,45.30044667455819,3.627923415199824,3.627923415199824
11,49.661250852403185,31.838621139526367,55.99032211303711,Ancoa500,0.0,49.661250852403185,49.661250852403185
12,-1.0526683038277995,-6.2582902908325195,5.15379524230957,Andes220,8.327733492994225,-9.380401796822024,9.380401796822024
13,-1.0526683038277995,-6.2582902908325195,5.15379524230957,Andes345,0.0,-1.0526683038277995,1.0526683038277995
14,34.21604667280224,-0.31133410334587097,59.96228790283203,Angamos220,33.11640046872329,1.099646204078951,1.099646204078951
15,36.76789406553975,0.1386508047580719,64.19678497314453,Antofagasta110,35.87103847970421,0.8968555858355387,0.8968555858355387
16,48.78208916527884,31.10846710205078,54.7453727722168,Antuco220,44.93295990250489,3.8491292627739497,3.8491292627739497
17,51.46587687446957,33.1512336730957,59.654014587402344,Apoquindo110,46.47484203454341,4.991034839926165,4.991034839926165
18,29.213551442804082,-0.1613052934408188,55.63579559326172,Arica066,27.468471451670272,1.7450799911338102,1.7450799911338102
