name,g_energy,p_energy,de,g_peak,p_peak,dp,g_loss_ana,g_loss_rep,rev
AJahuel110->Sauzal110_BP1,-4704.978469848633,4747.977704875061,-9452.956174723695,35.467071533203125,35.9220322883972,-0.4549607551940724,48.69424971899414,42.999238818883896,1
AJahuel154->Paine154,6950.551832675934,15143.825698476747,-8193.273865800813,139.2607879638672,133.954604576296,5.3061833875711955,119.17638070670318,118.71881307289004,0
AJahuel154->Tuniche154_II,7957.812687814236,9971.599425786531,-2013.7867379722957,113.1922607421875,102.760293877307,10.431966864880494,180.71966543900103,179.39488357515074,0
AJahuel220->AJahuel110,21120.06732940674,21599.565644893726,-479.49831548698785,188.56919860839844,191.066451728459,-2.497253120060549,14.459476916503906,14.085121339187026,0
AJahuel220->AJahuel154,14919.79964542389,24412.833924616385,-9493.034279192496,240.0,224.71101614152,15.288983858480009,11.52224982472229,11.435280981881078,0
AJahuel220->Buin110,11901.231304168701,11895.325813919648,5.9054902490534005,91.1806869506836,91.1395076632857,0.04117928739789534,4.353317315063476,3.905520984902978,0
AJahuel220->Chena220,16868.8218460083,13516.621298812757,3352.2005471955435,162.49574279785156,152.683289760869,9.81245303698256,92.8077415259385,87.64408420026302,0
AJahuel220->PAltoCmpc110,4416.543762207031,4351.463012213133,65.08074999389828,29.094879150390625,28.984279857688,0.11059929270262359,13.870058395612741,13.806612569838762,0
AJahuel220->SantaMarta220,16798.040145874023,11959.110142916052,4838.930002957972,161.29278564453125,144.474693347774,16.818092296757243,32.64301363327021,30.791340613737702,0
AJahuel500->AJahuel220,93887.89028930664,88784.1656179746,5103.724671332035,818.5628051757812,720.586788898167,97.97601627761424,368.99622719687505,359.76804065704346,0
Alfalfal220->Almendros220,8700.517890453339,8710.211073684211,-9.693183230872819,110.44999694824219,117.55,-7.10000305175781,21.566412011356352,19.24268771894276,0
Almendros110->Apoquindo110,14790.02834701538,21448.153749590296,-6658.125402574915,205.8605499267578,241.403397960729,-35.54284803397118,20.664673306263726,20.201562728907447,0
Almendros220->AJahuel220,-18293.849296569824,21738.846370967436,-40032.695667537264,236.7282257080078,246.924951142634,-10.196725434626188,65.8406496317802,63.925811289809644,1
