uid,mwh,name,plx_mwh,dmwh,admwh
1,4059.955352783203,ABANICO,4059.9552000000017,0.00015278320142897428,0.00015278320142897428
3,240.6749999113381,AEROPUERTO_FV,241.14166666666665,-0.4666667553285606,0.4666667553285606
5,412.5099985599518,AHE_BUENAS_YERBAS_FV,413.52499995000005,-1.015001390048269,1.015001390048269
6,49.27440047264099,AILLIN,49.27440000000003,4.7264096281196544e-07,4.7264096281196544e-07
7,486.78999611735344,ALAMEDA_FV,488.4666666466668,-1.6766705293133555,1.6766705293133555
8,68.67999912798405,ALBATROS_FV,68.8466666366667,-0.16666750868265012,0.16666750868265012
9,292.55360393226147,ALBOR_FV,301.18416664666654,-8.630562714405073,8.630562714405073
10,326.39999617636204,ALCALDESA_FV,327.2516666366668,-0.8516704603047742,0.8516704603047742
11,548.3200015053153,ALCON_FV,550.8399999999997,-2.519998494684387,2.519998494684387
12,300.47499945759773,ALDEBARAN_FV,301.21999998,-0.7450005224022789,0.7450005224022789
13,5036.599978148937,ALENA_EO,5036.6,-2.1851063138456084e-05,2.1851063138456084e-05
14,8837.371520996094,ALFALFAL,8837.371599999999,-7.900390482973307e-05,7.900390482973307e-05
16,196.69999808073044,ALHUE_FV,196.35999995000003,0.3399981307304074,0.3399981307304074
17,458.27999871224165,ALIANZA_FV,458.7083333133333,-0.4283346010916489,0.4283346010916489
18,157.60000005364418,ALICAHUE_FV,157.13333333333333,0.46666672031085454,0.46666672031085454
19,448.5600128173828,ALLIPEN,448.5600000000002,1.2817382639696007e-05,1.2817382639696007e-05
20,2662.679983243346,ALMEYDA_FV,1832.9566666666665,829.7233165766797,829.7233165766797
21,392.35000040382147,ALTO_BELLAVISTA_SUN_FV,393.61499996,-1.264999556178509,1.264999556178509
22,504.1999976634979,ALTO_DEL_SOL_FV,505.92499998,-1.7250023165020707,1.7250023165020707
23,153.46800184249878,ALTO_HOSPICIO,153.46799999999988,1.8424989036702755e-06,1.8424989036702755e-06
24,205.34640884399414,ALTO_RENAICO,205.34639999999976,8.843994379503783e-06,8.843994379503783e-06
25,93.69999957084656,ALTO_SOLAR_FV,93.48333331333335,0.21666625751321078,0.21666625751321078
27,58.80000036209822,ALTOS_TILTIL_FV,58.683333323333336,0.11666703876488072,0.11666703876488072
28,212.130001347512,ALTURAS_DE_OVALLE_FV,216.36499996999999,-4.2349986224879785,4.2349986224879785
29,75.00000050663948,AMPARO_DEL_SOL_FV,75.93333332333336,-0.933332816693877,0.933332816693877
30,393.2599974498153,ANAKENA_FV,393.7174999899999,-0.45750254018463465,0.45750254018463465
