# Archivo de precios de termicas (plpcosce.dat)
# Numero de centrales termicas con cambio de costo variable
 271 
# Nombre de la central
'CMPC_PACIFICO_BL3'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   12     036     061.2
   01     037     061.6
   02     038     062.1
   03     039     062.5
   04     040     063.0
   05     041     063.4
   06     042     063.9
   07     043     064.4
   08     044     064.8
   09     045     065.3
   10     046     065.8
   11     047     066.3
   12     048     066.8
   01     049     067.3
   02     050     067.8
   03     051     068.3
   04     052     068.8
   05     053     069.3
   06     054     069.8
   07     055     070.3
   08     056     070.8
   09     057     071.3
   10     058     071.9
   11     059     072.4
   12     060     072.9
   01     061     073.5
   02     062     074.0
   03     063     074.6
   04     064     075.1
   05     065     075.7
   06     066     076.2
   07     067     076.8
   08     068     077.4
   09     069     077.9
   10     070     078.5
   11     071     079.1
   12     072     079.7
# Nombre de la central
'COCHRANE_1'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     056.2
   07     002     056.2
   07     003     056.2
   07     004     056.2
   08     005     056.6
   08     006     056.6
   08     007     056.6
   08     008     056.6
   09     009     056.5
   09     010     056.5
   09     011     056.5
   09     012     056.5
   10     013     056.5
   10     014     056.5
   10     015     056.5
   10     016     056.5
   11     017     056.5
   11     018     056.5
   11     019     056.5
   11     020     056.5
   12     021     056.3
   12     022     056.3
   12     023     056.3
   12     024     056.3
   01     025     058.4
   02     026     058.0
   03     027     058.8
   04     028     059.7
   05     029     060.2
   06     030     060.6
   07     031     061.0
   08     032     061.5
   09     033     061.9
   10     034     062.3
   11     035     062.8
   12     036     063.2
   01     037     063.7
   02     038     064.1
   03     039     064.6
   04     040     065.1
   05     041     065.5
   06     042     066.0
   07     043     066.5
   08     044     067.0
   09     045     067.4
   10     046     067.9
   11     047     068.4
   12     048     068.9
   01     049     069.4
   02     050     069.9
   03     051     070.4
   04     052     070.9
   05     053     071.4
   06     054     072.0
   07     055     072.5
   08     056     073.0
   09     057     073.5
   10     058     074.1
   11     059     074.6
   12     060     075.2
   01     061     075.7
   02     062     076.3
   03     063     076.8
   04     064     077.4
   05     065     078.0
   06     066     078.5
   07     067     079.1
   08     068     079.7
   09     069     080.3
   10     070     080.9
   11     071     081.4
   12     072     082.0
# Nombre de la central
'COCHRANE_2'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     056.7
   07     002     056.7
   07     003     056.7
   07     004     056.7
   08     005     057.1
   08     006     057.1
   08     007     057.1
   08     008     057.1
   09     009     057.0
   09     010     057.0
   09     011     057.0
   09     012     057.0
   10     013     057.0
   10     014     057.0
   10     015     057.0
   10     016     057.0
   11     017     057.0
   11     018     057.0
   11     019     057.0
   11     020     057.0
   12     021     056.8
   12     022     056.8
   12     023     056.8
   12     024     056.8
   01     025     059.0
   02     026     058.6
   03     027     059.4
   04     028     060.3
   05     029     060.7
   06     030     061.2
   07     031     061.6
   08     032     062.0
   09     033     062.5
   10     034     062.9
   11     035     063.4
   12     036     063.8
   01     037     064.3
   02     038     064.8
   03     039     065.2
   04     040     065.7
   05     041     066.2
   06     042     066.7
   07     043     067.1
   08     044     067.6
   09     045     068.1
   10     046     068.6
   11     047     069.1
   12     048     069.6
   01     049     070.1
   02     050     070.6
   03     051     071.1
   04     052     071.6
   05     053     072.2
   06     054     072.7
   07     055     073.2
   08     056     073.7
   09     057     074.3
   10     058     074.8
   11     059     075.4
   12     060     075.9
   01     061     076.5
   02     062     077.0
   03     063     077.6
   04     064     078.2
   05     065     078.7
   06     066     079.3
   07     067     079.9
   08     068     080.5
   09     069     081.1
   10     070     081.7
   11     071     082.3
   12     072     082.9
# Nombre de la central
'GUACOLDA_1'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     052.8
   07     002     052.8
   07     003     052.8
   07     004     052.8
   08     005     036.4
   08     006     036.4
   08     007     036.4
   08     008     036.4
   09     009     047.7
   09     010     047.7
   09     011     047.7
   09     012     047.7
   10     013     046.9
   10     014     046.9
   10     015     046.9
   10     016     046.9
   11     017     056.7
   11     018     056.7
   11     019     056.7
   11     020     056.7
   12     021     059.2
   12     022     059.2
   12     023     059.2
   12     024     059.2
   01     025     057.7
   02     026     059.6
   03     027     058.7
   04     028     057.7
   05     029     058.1
   06     030     058.5
   07     031     058.9
   08     032     059.4
   09     033     059.8
   10     034     060.2
   11     035     060.7
   12     036     061.1
   01     037     061.6
   02     038     062.0
   03     039     062.5
   04     040     062.9
   05     041     063.4
   06     042     063.8
   07     043     064.3
   08     044     064.8
   09     045     065.2
   10     046     065.7
   11     047     066.2
   12     048     066.7
   01     049     067.2
   02     050     067.7
   03     051     068.2
   04     052     068.7
   05     053     069.2
   06     054     069.7
   07     055     070.2
   08     056     070.7
   09     057     071.2
   10     058     071.8
   11     059     072.3
   12     060     072.8
   01     061     073.4
   02     062     073.9
   03     063     074.5
   04     064     075.0
   05     065     075.6
   06     066     076.1
   07     067     076.7
   08     068     077.3
   09     069     077.8
   10     070     078.4
   11     071     079.0
   12     072     079.6
# Nombre de la central
'GUACOLDA_2'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     053.1
   07     002     053.1
   07     003     053.1
   07     004     053.1
   08     005     036.4
   08     006     036.4
   08     007     036.4
   08     008     036.4
   09     009     046.4
   09     010     046.4
   09     011     046.4
   09     012     046.4
   10     013     047.1
   10     014     047.1
   10     015     047.1
   10     016     047.1
   11     017     057.1
   11     018     057.1
   11     019     057.1
   11     020     057.1
   12     021     059.4
   12     022     059.4
   12     023     059.4
   12     024     059.4
   01     025     058.1
   02     026     060.0
   03     027     059.8
   04     028     058.5
   05     029     058.9
   06     030     059.4
   07     031     059.8
   08     032     060.2
   09     033     060.7
   10     034     061.1
   11     035     061.6
   12     036     062.0
   01     037     062.5
   02     038     062.9
   03     039     063.4
   04     040     063.9
   05     041     064.3
   06     042     064.8
   07     043     065.3
   08     044     065.8
   09     045     066.3
   10     046     066.7
   11     047     067.2
   12     048     067.7
   01     049     068.2
   02     050     068.7
   03     051     069.2
   04     052     069.8
   05     053     070.3
   06     054     070.8
   07     055     071.3
   08     056     071.9
   09     057     072.4
   10     058     072.9
   11     059     073.5
   12     060     074.0
   01     061     074.6
   02     062     075.1
   03     063     075.7
   04     064     076.2
   05     065     076.8
   06     066     077.4
   07     067     078.0
   08     068     078.6
   09     069     079.1
   10     070     079.7
   11     071     080.3
   12     072     080.9
# Nombre de la central
'GUACOLDA_3'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     045.9
   07     002     045.9
   07     003     045.9
   07     004     045.9
   08     005     034.2
   08     006     034.2
   08     007     034.2
   08     008     034.2
   09     009     041.2
   09     010     041.2
   09     011     041.2
   09     012     041.2
   10     013     041.7
   10     014     041.7
   10     015     041.7
   10     016     041.7
