# Archivo con la duracion de los bloques
# Bloques
     234
# Bloque   Etapa   NHoras  Ano   Mes  TipoBloque
    158    047      290    003    011    'Bloque 02'
    159    047      174    003    011    'Bloque 03'
    160    048      248    003    012    'Bloque 01'
    161    048      310    003    012    'Bloque 02'
    162    048      186    003    012    'Bloque 03'
    163    049      240    004    001    'Bloque 01'
    164    049      300    004    001    'Bloque 02'
    165    049      180    004    001    'Bloque 03'
    166    050      248    004    002    'Bloque 01'
    167    050      310    004    002    'Bloque 02'
    168    050      186    004    002    'Bloque 03'
    169    051      240    004    003    'Bloque 01'
    170    051      300    004    003    'Bloque 02'
    171    051      180    004    003    'Bloque 03'
    172    052      248    004    004    'Bloque 01'
    173    052      310    004    004    'Bloque 02'
    174    052      186    004    004    'Bloque 03'
    175    053      248    004    005    'Bloque 01'
    176    053      310    004    005    'Bloque 02'
    177    053      186    004    005    'Bloque 03'
    178    054      240    004    006    'Bloque 01'
    179    054      300    004    006    'Bloque 02'
    180    054      180    004    006    'Bloque 03'
    181    055      248    004    007    'Bloque 01'
    182    055      310    004    007    'Bloque 02'
    183    055      186    004    007    'Bloque 03'
    184    056      240    004    008    'Bloque 01'
    185    056      300    004    008    'Bloque 02'
    186    056      180    004    008    'Bloque 03'
    187    057      248    004    009    'Bloque 01'
    188    057      310    004    009    'Bloque 02'
    189    057      186    004    009    'Bloque 03'
    190    058      248    004    010    'Bloque 01'
    191    058      310    004    010    'Bloque 02'
    192    058      186    004    010    'Bloque 03'
    193    059      224    004    011    'Bloque 01'
    194    059      280    004    011    'Bloque 02'
    195    059      168    004    011    'Bloque 03'
    196    060      248    004    012    'Bloque 01'
    197    060      310    004    012    'Bloque 02'
    198    060      186    004    012    'Bloque 03'
    199    061      240    005    001    'Bloque 01'
    200    061      300    005    001    'Bloque 02'
    201    061      180    005    001    'Bloque 03'
    202    062      248    005    002    'Bloque 01'
    203    062      310    005    002    'Bloque 02'
    204    062      186    005    002    'Bloque 03'
    205    063      240    005    003    'Bloque 01'
    206    063      300    005    003    'Bloque 02'
    207    063      180    005    003    'Bloque 03'
    208    064      248    005    004    'Bloque 01'
    209    064      310    005    004    'Bloque 02'
    210    064      186    005    004    'Bloque 03'
    211    065      248    005    005    'Bloque 01'
    212    065      310    005    005    'Bloque 02'
    213    065      186    005    005    'Bloque 03'
    214    066      240    005    006    'Bloque 01'
    215    066      300    005    006    'Bloque 02'
    216    066      180    005    006    'Bloque 03'
    217    067      248    005    007    'Bloque 01'
    218    067      310    005    007    'Bloque 02'
    219    067      186    005    007    'Bloque 03'
    220    068      240    005    008    'Bloque 01'
    221    068      300    005    008    'Bloque 02'
    222    068      180    005    008    'Bloque 03'
    223    069      248    005    009    'Bloque 01'
    224    069      310    005    009    'Bloque 02'
    225    069      186    005    009    'Bloque 03'
    226    070      248    005    010    'Bloque 01'
    227    070      310    005    010    'Bloque 02'
    228    070      186    005    010    'Bloque 03'
    229    071      224    005    011    'Bloque 01'
    230    071      280    005    011    'Bloque 02'
    231    071      168    005    011    'Bloque 03'
    232    072      248    005    012    'Bloque 01'
    233    072      310    005    012    'Bloque 02'
    234    072      186    005    012    'Bloque 03'
