# Archivo de demandas por barra (plpdem.dat)
# Numero de barras
241
# Nombre de la Barra
'Coronel066'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   06    108    139.73
   07    109    104.45
   07    110    133.75
   07    111    138.03
   08    112    109.91
   08    113    142.97
   08    114    145.47
   09    115    109.79
   09    116    139.69
   09    117    142.66
   10    118    106.20
   10    119    137.41
   10    120    139.37
   11    121    113.99
   11    122    148.36
   11    123    145.83
   12    124    111.96
   12    125    144.61
   12    126    145.76
   01    127    112.09
   01    128    142.63
   01    129    146.76
   02    130     96.14
   02    131    124.38
   02    132    130.62
   03    133    102.07
   03    134    129.32
   03    135    140.20
   04    136     99.36
   04    137    122.87
   04    138    132.68
   05    139    105.69
   05    140    131.68
   05    141    140.90
   06    142    111.61
   06    143    141.91
   06    144    148.34
   07    145    110.86
   07    146    141.85
   07    147    146.55
   08    148    117.33
   08    149    152.47
   08    150    155.19
   09    151    116.85
   09    152    149.30
   09    153    152.09
   10    154    105.51
   10    155    136.17
   10    156    137.77
   11    157    108.75
   11    158    141.15
   11    159    138.65
   12    160    115.89
   12    161    149.95
   12    162    150.94
   01    163    121.43
   01    164    152.81
   01    165    158.33
   02    166    100.32
   02    167    130.06
   02    168    135.89
   03    169    105.33
   03    170    133.39
   03    171    144.55
   04    172    105.25
   04    173    131.23
   04    174    142.30
   05    175    112.85
   05    176    141.51
   05    177    151.78
   06    178    115.07
   06    179    146.05
   06    180    153.08
   07    181    112.96
   07    182    144.63
   07    183    149.66
   08    184    119.97
   08    185    155.93
   08    186    158.73
   09    187    120.71
   09    188    152.65
   09    189    156.77
   10    190    106.90
   10    191    139.12
   10    192    140.23
   11    193    118.86
   11    194    154.57
   11    195    151.93
   12    196    119.45
   12    197    153.93
   12    198    155.57
   01    199    122.72
   01    200    156.08
   01    201    161.05
   02    202    103.56
   02    203    134.34
   02    204    140.55
   03    205    109.10
   03    206    138.71
   03    207    149.90
   04    208    108.84
   04    209    135.03
   04    210    147.09
   05    211    116.13
   05    212    145.94
   05    213    156.59
   06    214    119.08
   06    215    150.75
   06    216    158.80
   07    217    116.22
   07    218    149.53
   07    219    154.15
   08    220    124.41
   08    221    161.18
   08    222    164.51
   09    223    123.83
   09    224    157.23
   09    225    161.08
   10    226    107.31
   10    227    139.69
   10    228    140.77
   11    229    118.86
   11    230    154.57
   11    231    151.93
   12    232    123.14
   12    233    158.94
   12    234    160.58
# Nombre de la Barra
'AJahuel110'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   07    001      0.01
   07    002      0.18
   07    003      0.80
   07    004      0.66
   07    005      0.58
   07    006      0.52
   07    007      0.59
   07    008      0.77
   07    009      0.50
   07    010      0.07
   07    011      0.01
   07    012      0.19
   07    013      0.84
   07    014      0.67
   07    015      0.58
   07    016      0.52
   07    017      0.59
   07    018      0.79
   07    019      0.51
   07    020      0.07
   07    021      0.01
   07    022      0.25
   07    023      0.70
   07    024      0.59
   07    025      0.17
   07    026      0.01
   07    027      0.22
   07    028      0.68
   07    029      0.60
   07    030      0.17
   08    031      0.36
   08    032      0.76
   08    033      0.43
   08    034      0.35
   08    035      0.79
   08    036      0.42
   08    037      0.37
   08    038      0.79
   08    039      0.44
   08    040      0.32
   08    041      0.73
   08    042      0.40
   09    043      0.36
   09    044      0.77
   09    045      0.45
   09    046      0.32
   09    047      0.75
   09    048      0.44
   09    049      0.37
   09    050      0.78
   09    051      0.46
   09    052      0.33
   09    053      0.78
   09    054      0.46
   10    055      0.17
   10    056      0.63
   10    057      0.35
   10    058      0.19
   10    059      0.59
   10    060      0.33
   10    061      0.19
   10    062      0.59
   10    063      0.33
   10    064      0.19
   10    065      0.63
   10    066      0.34
   11    067      0.18
   11    068      0.60
   11    069      0.33
   11    070      0.17
   11    071      0.57
