"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,22.842553191489365,33.007446808510636,6.776595744680853,16.06595744680851,3.934042553191489
1,1,2,22.068085106382945,32.63191489361695,7.04255319148934,15.025531914893605,2.9744680851063947
1,1,3,38.65957446808511,65.34042553191489,17.78723404255319,20.872340425531917,-3.8723404255319167
1,1,4,38.65957446808511,65.34042553191489,17.78723404255319,20.872340425531917,-3.8723404255319167
1,1,5,19.10638297872341,26.89361702127659,5.191489361702129,13.91489361702128,4.08510638297872
1,1,6,22.595744680851066,31.404255319148934,5.872340425531914,16.723404255319153,5.276595744680847
1,1,7,28.51063829787234,39.48936170212765,7.319148936170214,21.19148936170213,6.8085106382978715
1,1,8,38.93617021276596,54.06382978723404,10.085106382978724,28.851063829787236,9.148936170212764
1,1,9,49.36170212765958,68.63829787234042,12.85106382978723,36.510638297872354,11.489361702127646
1,1,10,56.48936170212766,78.51063829787233,14.680851063829786,41.808510638297875,13.191489361702125
1,1,11,59.7872340425532,83.21276595744679,15.617021276595745,44.17021276595746,13.829787234042541
1,1,12,61.87234042553192,86.12765957446808,16.170212765957448,45.70212765957447,14.297872340425528
1,1,13,63.61702127659575,88.38297872340425,16.51063829787234,47.10638297872341,14.89361702127659
1,1,14,61.87234042553192,86.12765957446808,16.170212765957448,45.70212765957447,14.297872340425528
1,1,15,58.91489361702129,82.0851063829787,15.446808510638302,43.46808510638299,13.531914893617007
1,1,16,56.48936170212766,78.51063829787233,14.680851063829786,41.808510638297875,13.191489361702125
1,1,17,57.70212765957447,80.29787234042553,15.063829787234042,42.63829787234043,13.36170212765957
1,1,18,61.87234042553192,86.12765957446808,16.170212765957448,45.70212765957447,14.297872340425528
1,1,19,70.2127659574468,97.7872340425532,18.382978723404253,51.829787234042556,16.170212765957444
1,1,20,77.3404255319149,107.65957446808511,20.21276595744681,57.12765957446809,17.87234042553191
1,1,21,74.04255319148939,102.95744680851061,19.276595744680854,54.76595744680853,17.234042553191472
1,1,22,66.91489361702128,93.08510638297872,17.4468085106383,49.46808510638298,15.53191489361702
1,1,23,52.1276595744681,72.8723404255319,13.829787234042557,38.29787234042554,11.702127659574458
1,1,24,36.03404255319148,51.81595744680852,10.521276595744679,25.512765957446803,6.487234042553197
