# scale_objective=1000
type,phase,scene,name,rhs,dual,coefficients
o,37,1,sddp_ecut_0_37_0_13,1.19537e+10,,rsv_vol_1_51_37_370=407557,rsv_vol_6_51_37_370=283933,rsv_vol_21_51_37_370=152037,rsv_vol_28_51_37_370=110939,rsv_vol_37_51_37_370=238844,rsv_vol_63_51_37_370=18995.1,rsv_vol_65_51_37_370=39453.1,rsv_vol_67_51_37_370=26201.7,sddp_alpha_0_36=1e+06
o,36,1,sddp_ecut_0_36_0_14,1.27709e+10,,rsv_vol_1_51_36_360=426300,rsv_vol_6_51_36_360=331636,rsv_vol_21_51_36_360=244392,rsv_vol_28_51_36_360=315186,rsv_vol_37_51_36_360=236117,rsv_vol_63_51_36_360=19003.7,rsv_vol_65_51_36_360=40502,rsv_vol_67_51_36_360=20788.5,sddp_alpha_0_35=1e+06
o,35,1,sddp_ecut_0_35_0_15,1.3383e+10,,rsv_vol_1_51_35_350=458900,rsv_vol_6_51_35_350=385520,rsv_vol_21_51_35_350=337628,rsv_vol_28_51_35_350=305722,rsv_vol_37_51_35_350=233418,rsv_vol_63_51_35_350=18424.4,rsv_vol_65_51_35_350=17047.8,rsv_vol_67_51_35_350=18995.1,sddp_alpha_0_34=1e+06
o,34,1,sddp_ecut_0_34_0_16,1.38191e+10,,rsv_vol_1_51_34_340=472882,rsv_vol_6_51_34_340=366980,rsv_vol_21_51_34_340=301451,rsv_vol_28_51_34_340=278291,rsv_vol_37_51_34_340=230988,rsv_vol_63_51_34_340=17294.9,rsv_vol_65_51_34_340=5594.1,rsv_vol_67_51_34_340=23937.5,sddp_alpha_0_33=1e+06
o,33,1,sddp_ecut_0_33_0_17,1.43219e+10,,rsv_vol_1_51_33_330=480769,rsv_vol_6_51_33_330=381003,rsv_vol_21_51_33_330=236065,rsv_vol_28_51_33_330=211723,rsv_vol_37_51_33_330=228562,rsv_vol_63_51_33_330=15072.6,rsv_vol_65_51_33_330=5017.37,rsv_vol_67_51_33_330=23383.7,sddp_alpha_0_32=1e+06
o,32,1,sddp_ecut_0_32_0_18,1.50147e+10,,rsv_vol_1_51_32_320=480769,rsv_vol_6_51_32_320=375250,rsv_vol_21_51_32_320=243361,rsv_vol_28_51_32_320=205621,rsv_vol_37_51_32_320=226180,rsv_vol_63_51_32_320=12257.7,rsv_vol_65_51_32_320=7052.09,rsv_vol_67_51_32_320=23354.5,sddp_alpha_0_31=1e+06
o,31,1,sddp_ecut_0_31_0_19,1.58441e+10,,rsv_vol_1_51_31_310=482020,rsv_vol_6_51_31_310=372029,rsv_vol_21_51_31_310=240126,rsv_vol_28_51_31_310=199375,rsv_vol_37_51_31_310=224174,rsv_vol_63_51_31_310=12903.6,rsv_vol_65_51_31_310=10392.6,rsv_vol_67_51_31_310=25320.6,sddp_alpha_0_30=1e+06
o,30,1,sddp_ecut_0_30_0_20,1.67216e+10,,rsv_vol_1_51_30_300=482020,rsv_vol_6_51_30_300=366945,rsv_vol_21_51_30_300=232513,rsv_vol_28_51_30_300=193503,rsv_vol_37_51_30_300=222197,rsv_vol_63_51_30_300=12292,rsv_vol_65_51_30_300=15391.7,rsv_vol_67_51_30_300=25025.1,sddp_alpha_0_29=1e+06
o,29,1,sddp_ecut_0_29_0_21,1.76223e+10,,rsv_vol_1_51_29_290=482020,rsv_vol_6_51_29_290=362749,rsv_vol_21_51_29_290=214997,rsv_vol_28_51_29_290=176255,rsv_vol_37_51_29_290=220383,rsv_vol_63_51_29_290=13122.6,rsv_vol_65_51_29_290=22603.2,rsv_vol_67_51_29_290=27088.2,sddp_alpha_0_28=1e+06
o,28,1,sddp_ecut_0_28_0_22,1.86274e+10,,rsv_vol_1_51_28_280=482020,rsv_vol_6_51_28_280=358099,rsv_vol_21_51_28_280=214054,rsv_vol_28_51_28_280=171113,rsv_vol_37_51_28_280=218664,rsv_vol_63_51_28_280=13875.4,rsv_vol_65_51_28_280=29022.5,rsv_vol_67_51_28_280=27021.2,sddp_alpha_0_27=1e+06
