"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,20.000000000000004,20.000000000000004,1.9500000000000004
1,1,2,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,3,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,4,20.000000000000004,20.000000000000004,1.9500000000000073
1,1,5,19.999999999999996,19.999999999999993,1.9500000000000004
1,1,6,20.000000000000004,20,1.9500000000000037
1,1,7,20,19.999999999999996,1.9500000000000004
1,1,8,20,19.999999999999996,1.9500000000000004
1,1,9,20,19.999999999999996,1.9500000000000004
1,1,10,20,19.999999999999996,1.9500000000000004
1,1,11,20,19.999999999999996,1.9500000000000004
1,1,12,20,19.999999999999996,1.9500000000000004
1,1,13,20,19.999999999999996,1.9500000000000004
1,1,14,20,19.999999999999996,1.9500000000000004
1,1,15,20,19.999999999999996,1.9500000000000004
1,1,16,20,19.999999999999996,1.9500000000000004
1,1,17,20.000000000000004,20.000000000000004,1.9500000000000037
1,1,18,20.000000000000004,20,1.9500000000000037
1,1,19,42.56092285508291,42.5609228550829,4.149689978370584
1,1,20,144.0768565248739,144.07685652487388,105.66562364816157
1,1,21,42.56092285508291,42.5609228550829,4.149689978370584
1,1,22,42.56092285508291,42.5609228550829,4.149689978370584
1,1,23,42.56092285508291,42.5609228550829,4.149689978370584
1,1,24,20.000000000000004,20.000000000000004,1.9500000000000004
