"scenario","stage","block","uid:1"
1,1,1,59.99999999999999
1,1,2,59.99999999999999
1,1,3,59.99999999999999
1,1,4,59.99999999999999
1,1,5,59.99999999999999
1,1,6,59.99999999999999
1,1,7,59.99999999999999
1,1,8,59.99999999999999
1,1,9,59.99999999999999
1,1,10,59.99999999999999
1,1,11,59.99999999999999
1,1,12,59.99999999999999
1,1,13,59.99999999999999
1,1,14,59.99999999999999
1,1,15,59.99999999999999
1,1,16,59.99999999999999
1,1,17,59.99999999999999
1,1,18,59.99999999999999
1,1,19,59.99999999999999
1,1,20,59.99999999999999
1,1,21,59.99999999999999
1,1,22,59.99999999999999
1,1,23,59.99999999999999
1,1,24,60
