"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,79.25,0,0,30.749999999999993
1,1,2,45.99999999999998,0,0,60.00000000000001
1,1,3,43.99999999999999,0,0,60.00000000000001
1,1,4,43.99999999999999,0,0,60.00000000000001
1,1,5,45.99999999999998,0,0,60.00000000000001
1,1,6,89.10000000000001,0,0,24.899999999999995
1,1,7,58.99999999999998,0,9,60.00000000000001
1,1,8,65.99999999999999,0,27,60.00000000000001
1,1,9,54.99999999999999,0,63,60.00000000000001
1,1,10,35.99999999999998,0,99.00000000000003,60.00000000000001
1,1,11,7.999999999999986,0,135,60.00000000000001
1,1,12,0,0,162,46
1,1,13,0,0,155.64999999999995,56.35000000000001
1,1,14,0,0,170.99999999999997,37.00000000000001
1,1,15,0,0,152.99999999999997,47.99999999999999
1,1,16,14.850000000000005,0,125.99999999999999,54.150000000000006
1,1,17,53.85000000000003,0,90,54.150000000000006
1,1,18,99.85,0,54,54.15
1,1,19,125,24.999999999999982,18,60.00000000000001
1,1,20,125,56.4,3.6000000000000005,60.00000000000001
1,1,21,125.00000000000001,51.99999999999996,0,60.00000000000001
1,1,22,125.00000000000001,34.999999999999986,0,60.00000000000001
1,1,23,124.99999999999999,0,0,60.00000000000001
1,1,24,87.85,0,0,54.150000000000006
