"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,110,0,0,0
1,1,2,45.99999999999998,0,0,60.00000000000001
1,1,3,103.99999999999999,0,0,0
1,1,4,52.70000000000007,0,0,51.29999999999993
1,1,5,45.99999999999998,0,0,60.00000000000001
1,1,6,53.999999999999986,0,0,60.00000000000001
1,1,7,63.499999999999986,0,4.5,60.00000000000001
1,1,8,79.49999999999999,0,13.5,60.00000000000001
1,1,9,86.5,0,31.499999999999996,60.00000000000001
1,1,10,85.49999999999997,0,49.50000000000001,60.00000000000001
1,1,11,75.49999999999999,0,67.5,60.00000000000001
1,1,12,66.99999999999997,0,81,60.00000000000001
1,1,13,61.999999999999986,0,90,60.00000000000001
1,1,14,62.49999999999996,0,85.5,60.00000000000001
1,1,15,64.49999999999999,0,76.5,60.00000000000001
1,1,16,72,0,62.99999999999999,60.00000000000001
1,1,17,93,0,45,60.00000000000001
1,1,18,120.99999999999997,0,27,60.00000000000001
1,1,19,159,0,9,60.00000000000001
1,1,20,183.19999999999996,0,1.8,60.00000000000001
1,1,21,176.99999999999994,0,0,60.00000000000001
1,1,22,160,0,0,60.00000000000001
1,1,23,136.7,0,0,48.300000000000004
1,1,24,81.99999999999999,0,0,60.00000000000001
