"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,20,20,1.9500000000000004
1,1,2,20,20,1.9500000000000004
1,1,3,20,20,1.9500000000000004
1,1,4,20,20,1.9500000000000004
1,1,5,20,20,1.9500000000000004
1,1,6,20,20,1.9500000000000004
1,1,7,20,20,1.9500000000000004
1,1,8,20,20,1.9500000000000004
1,1,9,20,20,1.9500000000000004
1,1,10,20,20,1.9500000000000004
1,1,11,20,20,1.9500000000000004
1,1,12,20,20,1.9500000000000004
1,1,13,20,20,1.9500000000000004
1,1,14,20,20,1.9500000000000004
1,1,15,20,20,1.9500000000000004
1,1,16,20,20,1.9500000000000004
1,1,17,20,20,1.9500000000000004
1,1,18,20,20,1.9500000000000004
1,1,19,20,20,1.9500000000000004
1,1,20,20,20,1.9500000000000004
1,1,21,20,20,1.9500000000000004
1,1,22,20,20,1.9500000000000004
1,1,23,20,20,1.9500000000000004
1,1,24,20,20,1.9500000000000004
