"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,22.842553191489355,33.00744680851063,6.7765957446808525,16.06595744680851,3.934042553191489
1,1,2,21.097872340425525,30.75212765957447,6.436170212765957,14.661702127659579,3.338297872340421
1,1,3,20.225531914893608,29.624468085106372,6.2659574468085095,13.959574468085108,3.0404255319148916
1,1,4,38.6595744680851,65.34042553191487,17.787234042553187,20.872340425531913,-3.872340425531913
1,1,5,19.1063829787234,26.893617021276597,5.19148936170213,13.914893617021278,4.085106382978722
1,1,6,22.59574468085106,31.40425531914893,5.872340425531914,16.72340425531915,5.276595744680851
1,1,7,28.51063829787234,39.48936170212767,7.319148936170215,21.191489361702132,6.808510638297868
1,1,8,38.93617021276596,54.06382978723405,10.08510638297872,28.851063829787236,9.148936170212764
1,1,9,49.36170212765957,68.63829787234043,12.851063829787236,36.51063829787235,11.489361702127653
1,1,10,57.97021276595743,81.37978723404252,15.6063829787234,42.36382978723404,12.636170212765961
1,1,11,59.787234042553195,83.2127659574468,15.617021276595743,44.170212765957444,13.829787234042556
1,1,12,61.87234042553192,86.1276595744681,16.170212765957448,45.70212765957447,14.297872340425528
1,1,13,63.617021276595736,88.38297872340425,16.51063829787234,47.1063829787234,14.893617021276597
1,1,14,61.87234042553192,86.1276595744681,16.170212765957448,45.70212765957447,14.297872340425528
1,1,15,68.87234042553192,101.37765957446808,21.670212765957448,47.20212765957447,9.797872340425528
1,1,16,56.489361702127646,78.51063829787233,14.680851063829792,41.808510638297875,13.191489361702125
1,1,17,57.70212765957446,80.29787234042553,15.063829787234045,42.63829787234043,13.36170212765957
1,1,18,61.87234042553192,86.1276595744681,16.170212765957448,45.70212765957447,14.297872340425528
1,1,19,70.2127659574468,97.78723404255318,18.382978723404253,51.829787234042556,16.170212765957444
1,1,20,87.29787234042553,126.95212765957447,26.43617021276595,60.861702127659576,14.138297872340424
1,1,21,74.04255319148936,102.95744680851062,19.276595744680858,54.76595744680851,17.234042553191493
1,1,22,66.91489361702126,93.08510638297872,17.446808510638295,49.46808510638298,15.53191489361702
1,1,23,52.12765957446808,72.87234042553192,13.829787234042556,38.29787234042553,11.702127659574472
1,1,24,34.042553191489354,47.95744680851063,9.276595744680847,24.765957446808507,7.234042553191493
