# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,20,1,sddp_fcut_0_20_1_30,2.25545e+08,27964:-0,27995:-0,28026:-0,28057:-0,28088:0.13265,28119:10080.5,28181:0.0240221,28212:0.00829064,sddp_alpha_0_19=1000
o,19,1,sddp_fcut_0_19_1_31,2.16314e+08,27964:-0,27995:-0,28026:-0,28057:-0,28088:0.355278,28119:10097.6,28181:43356.5,28212:19406.3,sddp_alpha_0_18=1000
o,18,1,sddp_fcut_0_18_1_32,2.38106e+08,27964:8834.81,27995:-0,28026:-0,28057:-0,28088:0.205337,28119:-0,28181:-0,28212:839.565,sddp_alpha_0_17=1000
o,17,1,sddp_fcut_0_17_1_33,2.39293e+08,27964:13099.6,27995:0.178312,28026:-0,28057:-0,28088:0.223877,28119:-0,28181:-0,28212:-0,sddp_alpha_0_16=1000
o,16,1,sddp_fcut_0_16_1_34,2.43359e+08,27964:13236,27995:0.18017,28026:-0,28057:-0,28088:0.212547,28119:10023.1,28181:-0,28212:-0,sddp_alpha_0_15=1000
o,15,1,sddp_fcut_0_15_1_35,2.17639e+08,27964:44477.6,27995:1.63292,28026:-0,28057:-0,28088:0.274298,28119:10023.1,28181:9917.69,28212:3422.84,sddp_alpha_0_14=1000
o,14,1,sddp_fcut_0_14_1_36,2.67743e+08,27964:4343.55,27995:0.197833,28026:-0,28057:-0,28088:0.70426,28119:10103,28181:33825.6,28212:11674,sddp_alpha_0_13=1000
o,13,1,sddp_fcut_0_13_1_37,2.46206e+08,27964:74560.4,27995:3.00831,28026:28726.7,28057:-0,28088:0.678496,28119:10328.7,28181:44348.9,28212:19850.5,sddp_alpha_0_12=1000
o,12,1,sddp_fcut_0_12_1_38,2.8119e+08,27964:75813.5,27995:4.12107,28026:29209.5,28057:-0,28088:1.25504,28119:10502.3,28181:45094.3,28212:20184.1,sddp_alpha_0_11=1000
o,11,1,sddp_fcut_0_11_1_39,2.50135e+08,27944:77317.2,27975:3.20112,28006:29788.9,28037:-0,28068:1.0593,28099:10710.6,28161:45988.7,28192:20584.5,sddp_alpha_0_10=1000
o,10,1,sddp_fcut_0_10_1_40,2.88734e+08,27944:50281.6,27975:2.62275,28006:28323.2,28037:-0,28068:0.802193,28099:10183.6,28161:43725.9,28192:19571.6,sddp_alpha_0_9=1000
o,9,1,sddp_fcut_0_9_1_41,2.9323e+08,27944:51231.9,27975:4.92573,28006:28858.5,28037:-0,28068:1.2645,28099:10376.1,28161:44552.3,28192:19941.5,sddp_alpha_0_8=1000
o,8,1,sddp_fcut_0_8_1_42,2.88456e+08,27944:28323.2,27975:3.18276,28006:28323.2,28037:-0,28068:1.24913,28099:10183.6,28161:36883.8,28192:12729.5,sddp_alpha_0_7=1000
o,7,1,sddp_fcut_0_7_1_43,2.5203e+08,27944:-0,27975:0.724645,28006:-0,28037:-0,28068:1.40937,28099:10376.1,28161:37580.9,28192:12970.1,sddp_alpha_0_6=1000
o,6,1,sddp_fcut_0_6_1_44,3.06546e+08,27944:-0,27975:0.980153,28006:-0,28037:-0,28068:2.15495,28099:10388.3,28161:44604.7,28192:19965,sddp_alpha_0_5=1000
o,5,1,sddp_fcut_0_5_1_45,3.00423e+08,27944:-0,27975:0.675787,28006:-0,28037:-0,28068:0.866471,28099:-0,28161:43468.7,28192:19456.5,sddp_alpha_0_4=1000
o,4,1,sddp_fcut_0_4_1_46,3.00735e+08,27944:-0,27975:0.926641,28006:-0,28037:-0,28068:1.74342,28099:-0,28161:38257.6,28192:13492.4,sddp_alpha_0_3=1000
o,3,1,sddp_fcut_0_3_1_47,2.48895e+08,27924:-0,27955:0.644724,27986:-0,28017:-0,28048:0.81186,28079:-0,28141:-0,28172:13801.1,sddp_alpha_0_2=1000
o,2,1,sddp_fcut_0_2_1_48,2.21633e+08,27924:-0,27955:-0,27986:-0,28017:-0,28048:0.372877,28079:-0,28141:-0,28172:8933.33,sddp_alpha_0_1=1000
o,1,1,sddp_fcut_0_1_1_49,2.61875e+08,27924:-0,27955:-0,27986:-0,28017:-0,28048:0.528645,28079:-0,28141:-0,28172:13333.3,sddp_alpha_0_0=1000
