"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,2,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,3,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,4,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,5,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,6,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,7,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,8,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,9,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,10,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,11,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,12,0,0,0
1,1,13,0,0,0
1,1,14,0,0,0
1,1,15,0,0,0
1,1,16,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,17,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,18,19.999999999999996,19.999999999999993,1.9499999999999968
1,1,19,40.00000000000001,40,19.63876712328768
1,1,20,168.59178082191784,168.5917808219178,148.2305479452055
1,1,21,40.00000000000001,40,19.63876712328768
1,1,22,40.00000000000001,40,19.63876712328768
1,1,23,25.728767123287714,25.72876712328771,5.3675342465753815
1,1,24,19.999999999999996,19.999999999999996,1.9499999999999968
