# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,50,14,sddp_fcut_13_50_0_0,1.37596e+09,54874:-0,54905:432.148,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_13_49=1000
o,49,14,sddp_ecut_13_49_0_1,1.4167e+09,54874:11833.8,54905:396.334,54936:3099.26,54967:1314.88,54998:0.168151,55029:676.802,55091:3044.88,55122:1559.09,sddp_alpha_13_48=1000
o,48,14,sddp_ecut_13_48_0_2,1.45798e+09,54874:11833.8,54905:346.426,54936:2937.63,54967:1314.88,54998:0.438074,55029:649.146,55091:3044.88,55122:1692.61,sddp_alpha_13_47=1000
o,47,14,sddp_ecut_13_47_0_3,1.49782e+09,54874:12111.4,54905:325.227,54936:2900.71,54967:1305.25,54998:0.658279,55029:664.137,55091:2648.92,55122:1261.63,sddp_alpha_13_46=1000
o,46,14,sddp_ecut_13_46_0_4,1.53541e+09,54874:12205.2,54905:3730.98,54936:2318.59,54967:1305.25,54998:0.837367,55029:662.129,55091:1741.65,55122:1052.74,sddp_alpha_13_45=1000
o,45,14,sddp_ecut_13_45_0_5,1.57699e+09,54874:12205.2,54905:6077.12,54936:2517.34,54967:1305.25,54998:1.01886,55029:573.356,55091:653.119,55122:794.435,sddp_alpha_13_44=1000
o,44,14,sddp_ecut_13_44_0_6,1.62005e+09,54874:12205.2,54905:6816.55,54936:2713.77,54967:1358.11,54998:1.18556,55029:488.36,55091:449.019,55122:828.778,sddp_alpha_13_43=1000
o,43,14,sddp_ecut_13_43_0_7,1.66948e+09,54874:12356,54905:7913.24,54936:3350.27,54967:1812.76,54998:1.41418,55029:579.639,55091:1246.78,55122:960.275,sddp_alpha_13_42=1000
o,42,14,sddp_ecut_13_42_0_8,1.72257e+09,54374:12425.3,54405:8069.87,54436:3451.34,54467:1812.76,54498:1.69953,54529:622.059,54591:2299.02,54622:1085.7,sddp_alpha_13_41=1000
o,41,14,sddp_ecut_13_41_0_9,1.77672e+09,54374:13153.1,54405:8996.35,54436:3887.78,54467:2204.51,54498:2.01728,54529:661.861,54591:2656.03,54622:1204.93,sddp_alpha_13_40=1000
o,40,14,sddp_ecut_13_40_0_10,1.83376e+09,54374:15699.9,54405:9531.43,54436:5022.34,54467:2839.54,54498:2.54273,54529:811.497,54591:3743.2,54622:1932.08,sddp_alpha_13_39=1000
o,39,14,sddp_ecut_13_39_0_11,1.88566e+09,54374:20274.5,54405:9530.63,54436:6250.83,54467:3381.96,54498:2.97005,54529:1065.51,54591:5767.72,54622:3382.22,sddp_alpha_13_38=1000
o,38,14,sddp_ecut_13_38_0_12,1.93626e+09,54374:21785.7,54405:9530.02,54436:6696.41,54467:3612.43,54498:3.2974,54529:1154.38,54591:6775.79,54622:4211.16,sddp_alpha_13_37=1000
o,37,14,sddp_ecut_13_37_0_13,1.97729e+09,54374:21785.7,54405:5182,54436:6081.62,54467:3612.43,54498:3.52483,54529:1154.38,54591:7808.86,54622:5752.22,sddp_alpha_13_36=1000
o,36,14,sddp_ecut_13_36_0_14,2.02111e+09,54374:21785.7,54405:3338.73,54436:5731.2,54467:3612.43,54498:3.87423,54529:1154.38,54591:8128.34,54622:6364.8,sddp_alpha_13_35=1000
o,35,14,sddp_ecut_13_35_0_15,2.06425e+09,54374:21785.7,54405:2832.9,54436:4963.74,54467:3162.6,54498:4.13008,54529:1126.13,54591:8128.34,54622:6185.42,sddp_alpha_13_34=1000
o,34,14,sddp_ecut_13_34_0_16,2.10188e+09,54374:21801.7,54405:2654.97,54436:2398.1,54467:1296.59,54498:4.37189,54529:1068.77,54591:7810.51,54622:4601.4,sddp_alpha_13_33=1000
o,33,14,sddp_ecut_13_33_0_17,2.14435e+09,54374:21801.7,54405:3099.59,54436:1665.14,54467:585.021,54498:4.59462,54529:913.026,54591:4988.79,54622:3405.23,sddp_alpha_13_32=1000
o,32,14,sddp_ecut_13_32_0_18,2.19076e+09,54374:21801.7,54405:3099.48,54436:2075.51,54467:255.947,54498:4.79464,54529:713.213,54591:3984.22,54622:2440.79,sddp_alpha_13_31=1000
o,31,14,sddp_ecut_13_31_0_19,2.24459e+09,54374:21801.7,54405:3584.46,54436:1996.23,54467:79.9834,54498:5.06943,54529:715.151,54591:3465.73,54622:1923.06,sddp_alpha_13_30=1000
o,30,14,sddp_ecut_13_30_0_20,2.30416e+09,54374:21801.7,54405:3583.97,54436:2015.54,54467:4.99896,54498:5.44398,54529:742.343,54591:3446.78,54622:1771.21,sddp_alpha_13_29=1000
o,29,14,sddp_ecut_13_29_0_21,2.36544e+09,54374:21801.7,54405:3584.3,54436:1954.74,54467:4.99896,54498:5.61013,54529:782.07,54591:3491.85,54622:1745.75,sddp_alpha_13_28=1000
o,28,14,sddp_ecut_13_28_0_22,2.42978e+09,54374:21801.7,54405:3584.81,54436:2059.59,54467:6.44118,54498:6.06854,54529:770.142,54591:3552.99,54622:1845.52,sddp_alpha_13_27=1000
o,27,14,sddp_ecut_13_27_0_23,2.48952e+09,54374:21801.7,54405:1976.37,54436:4649.41,54467:2501.54,54498:6.17045,54529:799.154,54591:4154.25,54622:2363.67,sddp_alpha_13_26=1000
o,26,14,sddp_ecut_13_26_0_24,2.54949e+09,54374:21801.7,54405:1313.89,54436:4579.52,54467:2683.3,54498:6.62129,54529:874.234,54591:5094.36,54622:3165.78,sddp_alpha_13_25=1000
o,25,14,sddp_ecut_13_25_0_25,2.60286e+09,54374:21801.7,54405:872.583,54436:5800.46,54467:3443.42,54498:7.12765,54529:1251.06,54591:5556.98,54622:2830.25,sddp_alpha_13_24=1000
o,24,14,sddp_ecut_13_24_0_26,2.6586e+09,54074:21801.7,54105:374.51,54136:5369.1,54167:3443.42,54198:7.54994,54229:1225.79,54291:5556.98,54322:3413.55,sddp_alpha_13_23=1000
o,23,14,sddp_ecut_13_23_0_27,2.7093e+09,53974:21801.7,54005:82.7098,54036:4725.82,54067:3207.2,54098:7.79323,54129:1150.98,54191:4958.04,54222:3403.11,sddp_alpha_13_22=1000
o,22,14,sddp_ecut_13_22_0_28,2.72219e+09,53974:21801.7,54005:2.25375,54036:3497.95,54067:3207.2,54098:7.84649,54129:1150.98,54191:4958.04,54222:3337.02,sddp_alpha_13_21=1000
o,21,14,sddp_ecut_13_21_0_29,2.73344e+09,53974:21801.7,54005:-14.0732,54036:3497.3,54067:3207.2,54098:7.89385,54129:1150.98,54191:4958.04,54222:3222.41,sddp_alpha_13_20=1000
o,20,14,sddp_ecut_13_20_0_30,2.74598e+09,53974:21801.7,54005:-16.0788,54036:3513.18,54067:3207.2,54098:7.94679,54129:1150.98,54191:4958.04,54222:2567.75,sddp_alpha_13_19=1000
o,19,14,sddp_ecut_13_19_0_31,2.75689e+09,53974:21801.7,54005:-16.2744,54036:3267.11,54067:3207.2,54098:7.9903,54129:1150.98,54191:4958.04,54222:2857.1,sddp_alpha_13_18=1000
o,18,14,sddp_ecut_13_18_0_32,2.7704e+09,53974:21801.7,54005:-16.2363,54036:3258.31,54067:3207.2,54098:8.04443,54129:1150.98,54191:4958.04,54222:3007.69,sddp_alpha_13_17=1000
o,17,14,sddp_ecut_13_17_0_33,2.78423e+09,53974:21801.7,54005:-16.0089,54036:3469.14,54067:3207.2,54098:8.09733,54129:1150.98,54191:4958.04,54222:3073.98,sddp_alpha_13_16=1000
o,16,14,sddp_ecut_13_16_0_34,2.79828e+09,53974:21801.7,54005:-15.5078,54036:3472.3,54067:3207.2,54098:8.15073,54129:1150.98,54191:4958.04,54222:3214.58,sddp_alpha_13_15=1000
o,15,14,sddp_ecut_13_15_0_35,2.81057e+09,53974:21801.7,54005:-15.128,54036:3862.25,54067:3207.2,54098:8.19297,54129:1101.01,54191:4958.04,54222:2987.19,sddp_alpha_13_14=1000
o,14,14,sddp_ecut_13_14_0_36,2.82524e+09,53974:21801.7,54005:-14.4975,54036:4016.83,54067:3207.2,54098:8.25155,54129:838.825,54191:4958.04,54222:2892.8,sddp_alpha_13_13=1000
o,13,14,sddp_ecut_13_13_0_37,2.83806e+09,53974:21801.7,54005:-13.9528,54036:4235.29,54067:3207.2,54098:8.29891,54129:542.283,54191:4958.04,54222:3158.68,sddp_alpha_13_12=1000
o,12,14,sddp_ecut_13_12_0_38,2.85283e+09,53974:21801.7,54005:-13.3159,54036:4607.37,54067:3207.2,54098:8.35372,54129:406.753,54191:4958.04,54222:3073.53,sddp_alpha_13_11=1000
o,11,14,sddp_ecut_13_11_0_39,2.86579e+09,53774:21801.7,53805:-12.7556,53836:4411.34,53867:3207.2,53898:8.40706,53929:203.6,53991:4958.04,54022:3252.14,sddp_alpha_13_10=1000
o,10,14,sddp_ecut_13_10_0_40,2.88128e+09,53774:21801.7,53805:-12.1128,53836:4794.52,53867:3207.2,53898:8.48416,53929:220.546,53991:4958.04,54022:3168.03,sddp_alpha_13_9=1000
o,9,14,sddp_ecut_13_9_0_41,2.89708e+09,53774:21801.7,53805:-11.431,53836:4918.16,53867:3207.2,53898:8.56532,53929:638.875,53991:4958.04,54022:2985.16,sddp_alpha_13_8=1000
o,8,14,sddp_ecut_13_8_0_42,2.91323e+09,53774:21801.7,53805:-10.5397,53836:5394.31,53867:3207.2,53898:8.67156,53929:786.256,53991:5019.44,54022:3115.61,sddp_alpha_13_7=1000
o,7,14,sddp_ecut_13_7_0_43,2.92724e+09,53774:21801.7,53805:-9.73972,53836:5436.92,53867:3207.2,53898:8.76753,53929:857.35,53991:5019.44,54022:1939.28,sddp_alpha_13_6=1000
o,6,14,sddp_ecut_13_6_0_44,2.94464e+09,53774:21801.7,53805:-8.80488,53836:5434.55,53867:3207.2,53898:8.89213,53929:890.121,53991:5019.44,54022:1669.57,sddp_alpha_13_5=1000
o,5,14,sddp_ecut_13_5_0_45,2.96184e+09,53774:21801.7,53805:-7.89002,53836:5255.73,53867:3207.2,53898:8.99058,53929:854.152,53991:5019.44,54022:1488.44,sddp_alpha_13_4=1000
o,4,14,sddp_ecut_13_4_0_46,2.97919e+09,53774:21801.7,53805:-6.96838,53836:5191.54,53867:3207.2,53898:9.09571,53929:777.008,53991:5019.44,54022:1374.29,sddp_alpha_13_3=1000
o,3,14,sddp_ecut_13_3_0_47,2.99466e+09,53574:21801.7,53605:-6.12019,53636:5304.12,53667:3207.2,53698:9.18769,53729:771.292,53791:5019.44,53822:1527.46,sddp_alpha_13_2=1000
o,2,14,sddp_ecut_13_2_0_48,3.00826e+09,53574:21801.7,53605:-5.43504,53636:4974.43,53667:3207.2,53698:9.22695,53729:779.617,53791:5019.44,53822:1544.48,sddp_alpha_13_1=1000
o,1,14,sddp_ecut_13_1_0_49,3.02337e+09,53574:21801.7,53605:-4.65363,53636:4564.95,53667:3207.2,53698:9.26516,53729:631.856,53791:4884.52,53822:1393.58,sddp_alpha_13_0=1000
o,50,14,sddp_ecut_13_50_1_0,5.13891e+07,54874:2100.8,54905:1.07481,54936:2100.8,54967:2100.8,54998:0.23204,55029:772.044,55091:2994.08,55122:1342.78,sddp_alpha_13_49=1000
o,49,14,sddp_ecut_13_49_1_1,1.41307e+09,54874:0,54905:242.209,54936:0,54967:0,54998:0.118417,55029:526.585,55091:0,55122:905.619,sddp_alpha_13_48=1000
o,48,14,sddp_ecut_13_48_1_2,1.45352e+09,54874:0,54905:58.8766,54936:0,54967:0,54998:0.27222,55029:485.806,55091:0,55122:861.618,sddp_alpha_13_47=1000
o,47,14,sddp_ecut_13_47_1_3,1.49339e+09,54874:0,54905:1.402,54936:0,54967:0,54998:0.363125,55029:445.881,55091:0,55122:562.888,sddp_alpha_13_46=1000
