# scale_objective=1000
type,phase,scene,name,rhs,dual,coefficients
o,37,2,sddp_ecut_1_37_36_13,5.18231e+09,,rsv_vol_1_51_37_370=205170,rsv_vol_6_51_37_370=144430,rsv_vol_21_51_37_370=79027.7,rsv_vol_28_51_37_370=55719.4,rsv_vol_37_51_37_370=68760.4,rsv_vol_63_51_37_370=10655.7,rsv_vol_65_51_37_370=66341.7,rsv_vol_67_51_37_370=46987.1,sddp_alpha_1_36=1000
o,36,2,sddp_ecut_1_36_36_14,5.54112e+09,,rsv_vol_1_51_36_360=207176,rsv_vol_6_51_36_360=151226,rsv_vol_21_51_36_360=92083.8,rsv_vol_28_51_36_360=74080.6,rsv_vol_37_51_36_360=68755.6,rsv_vol_63_51_36_360=10655.7,rsv_vol_65_51_36_360=68829.1,rsv_vol_67_51_36_360=53894.9,sddp_alpha_1_35=1000
o,35,2,sddp_ecut_1_35_36_15,5.87349e+09,,rsv_vol_1_51_35_350=207176,rsv_vol_6_51_35_350=151204,rsv_vol_21_51_35_350=95190.8,rsv_vol_28_51_35_350=77853.8,rsv_vol_37_51_35_350=68750.6,rsv_vol_63_51_35_350=10397.7,rsv_vol_65_51_35_350=69212.3,rsv_vol_67_51_35_350=52151.6,sddp_alpha_1_34=1000
o,34,2,sddp_ecut_1_34_36_16,6.13609e+09,,rsv_vol_1_51_34_340=211241,rsv_vol_6_51_34_340=143819,rsv_vol_21_51_34_340=87986.1,rsv_vol_28_51_34_340=74236.2,rsv_vol_37_51_34_340=68745.4,rsv_vol_63_51_34_340=10171.1,rsv_vol_65_51_34_340=66726.2,rsv_vol_67_51_34_340=37468,sddp_alpha_1_33=1000
o,33,2,sddp_ecut_1_33_36_17,6.42391e+09,,rsv_vol_1_51_33_330=214162,rsv_vol_6_51_33_330=147732,rsv_vol_21_51_33_330=87902.1,rsv_vol_28_51_33_330=74236.2,rsv_vol_37_51_33_330=68740,rsv_vol_63_51_33_330=8827.29,rsv_vol_65_51_33_330=45077.2,rsv_vol_67_51_33_330=28915,sddp_alpha_1_32=1000
o,32,2,sddp_ecut_1_32_36_18,6.76709e+09,,rsv_vol_1_51_32_320=214173,rsv_vol_6_51_32_320=148428,rsv_vol_21_51_32_320=92185,rsv_vol_28_51_32_320=74236.2,rsv_vol_37_51_32_320=68734.8,rsv_vol_63_51_32_320=6813.64,rsv_vol_65_51_32_320=36984.1,rsv_vol_67_51_32_320=21812.2,sddp_alpha_1_31=1000
o,31,2,sddp_ecut_1_31_36_19,7.17351e+09,,rsv_vol_1_51_31_310=214173,rsv_vol_6_51_31_310=149264,rsv_vol_21_51_31_310=88569.3,rsv_vol_28_51_31_310=70736.3,rsv_vol_37_51_31_310=68730.9,rsv_vol_63_51_31_310=6531.99,rsv_vol_65_51_31_310=32527.5,rsv_vol_67_51_31_310=17877.5,sddp_alpha_1_30=1000
o,30,2,sddp_ecut_1_30_36_20,7.62125e+09,,rsv_vol_1_51_30_300=214173,rsv_vol_6_51_30_300=149248,rsv_vol_21_51_30_300=87997.3,rsv_vol_28_51_30_300=70736.3,rsv_vol_37_51_30_300=68727.3,rsv_vol_63_51_30_300=6382.29,rsv_vol_65_51_30_300=32175.7,rsv_vol_67_51_30_300=17772.5,sddp_alpha_1_29=1000
o,29,2,sddp_ecut_1_29_36_21,8.08168e+09,,rsv_vol_1_51_29_290=214173,rsv_vol_6_51_29_290=149233,rsv_vol_21_51_29_290=87962.3,rsv_vol_28_51_29_290=70736.3,rsv_vol_37_51_29_290=68723.5,rsv_vol_63_51_29_290=6882.05,rsv_vol_65_51_29_290=32430.3,rsv_vol_67_51_29_290=16999.3,sddp_alpha_1_28=1000
o,28,2,sddp_ecut_1_28_36_22,8.58227e+09,,rsv_vol_1_51_28_280=214173,rsv_vol_6_51_28_280=149218,rsv_vol_21_51_28_280=88600.2,rsv_vol_28_51_28_280=70736.3,rsv_vol_37_51_28_280=68720,rsv_vol_63_51_28_280=6684.38,rsv_vol_65_51_28_280=32816.9,rsv_vol_67_51_28_280=18011.8,sddp_alpha_1_27=1000
