# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,50,10,sddp_fcut_9_50_0_0,2.39862e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_9_49=1000
o,49,10,sddp_ecut_9_49_0_1,2.44126e+09,54874:15025.5,54905:9579.02,54936:4712.21,54967:2618.22,54998:7288.52,55029:782.071,55091:3569.12,55122:1827.28,sddp_alpha_9_48=1000
o,48,10,sddp_ecut_9_48_0_2,2.48318e+09,54874:15817.7,54905:10907.4,54936:5518.53,54967:3539.46,54998:7288.02,55029:766.702,55091:3738.12,55122:2093.02,sddp_alpha_9_47=1000
o,47,10,sddp_ecut_9_47_0_3,2.52243e+09,54874:16848.6,54905:11456.6,54936:6146.17,54967:4184.77,54998:7287.5,55029:792.141,55091:3766.44,55122:2025.85,sddp_alpha_9_46=1000
o,46,10,sddp_ecut_9_46_0_4,2.5579e+09,54874:18928.2,54905:13015.3,54936:6081.02,54967:4184.77,54998:7286.98,55029:984.371,55091:3850.56,55122:1724.29,sddp_alpha_9_45=1000
o,45,10,sddp_ecut_9_45_0_5,2.59706e+09,54874:19527.4,54905:13647.9,54936:6426.1,54967:4184.77,54998:9236.25,55029:946.348,55091:3487.75,55122:1568.03,sddp_alpha_9_44=1000
o,44,10,sddp_ecut_9_44_0_6,2.63762e+09,54874:19527.4,54905:13645.3,54936:6280.78,54967:4190.25,54998:9880.22,55029:813.381,55091:3138.6,55122:1454.48,sddp_alpha_9_43=1000
o,43,10,sddp_ecut_9_43_0_7,2.68451e+09,54874:19549,54905:13687.6,54936:6091.91,54967:4051.47,54998:10165.3,55029:750.245,55091:2857.32,55122:1366.75,sddp_alpha_9_42=1000
o,42,10,sddp_ecut_9_42_0_8,2.73654e+09,54374:19549,54405:13696.4,54436:6186.17,54467:4142.26,54498:10267.5,54529:748.786,54591:3034.22,54622:1360.93,sddp_alpha_9_41=1000
o,41,10,sddp_ecut_9_41_0_9,2.78983e+09,54374:20500.5,54405:14404,54436:6407.11,54467:4218.94,54498:11080.9,54529:837.535,54591:3445.81,54622:1544.34,sddp_alpha_9_40=1000
o,40,10,sddp_fcut_9_40_0_10,7.18734e+12,54374:-0,54405:-0,54436:-0,54467:-0,54498:-89371.9,54529:-0,54591:-0,54622:-0,sddp_alpha_9_39=1000
o,39,10,sddp_fcut_9_39_0_11,7.6606e+07,54374:-0,54405:-0,54436:-0,54467:-0,54498:-79658.3,54529:-0,54591:-0,54622:-0,sddp_alpha_9_38=1000
o,38,10,sddp_ecut_9_38_0_12,1.33746e+08,54374:25239.9,54405:17596.7,54436:7686.64,54467:4130.88,54498:12431.6,54529:1324.5,54591:6069.1,54622:3115.3,sddp_alpha_9_37=1000
o,37,10,sddp_ecut_9_37_0_13,1.76012e+08,54374:25333.8,54405:17635.5,54436:7917.46,54467:4389.96,54498:12430.7,54529:1327.15,54591:7578.99,54622:4635.07,sddp_alpha_9_36=1000
