# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,50,7,sddp_fcut_6_50_0_0,2.27987e+09,54874:-0,54905:-0,54936:-0,54967:-0,54998:-0,55029:-0,55091:-0,55122:-0,sddp_alpha_6_49=1000
o,49,7,sddp_ecut_6_49_0_1,2.32339e+09,54874:19491.8,54905:12482.4,54936:5948.39,54967:3197.86,54998:12494.5,55029:1024.55,55091:4364.88,55122:2072.72,sddp_alpha_6_48=1000
o,48,7,sddp_ecut_6_48_0_2,2.36492e+09,54874:20790.8,54905:14276.9,54936:7040.55,54967:4390.1,54998:12757,55029:1018.28,55091:4615.13,55122:2404.4,sddp_alpha_6_47=1000
o,47,7,sddp_ecut_6_47_0_3,2.40301e+09,54874:22427.2,54905:15162.3,54936:7905.56,54967:5253.37,54998:13304.7,55029:1043.5,55091:4722.39,55122:2393.48,sddp_alpha_6_46=1000
o,46,7,sddp_ecut_6_46_0_4,2.43644e+09,54874:23440.7,54905:16129.8,54936:7463.59,54967:5253.37,54998:14046,55029:1184.22,55091:4715.09,55122:2117.06,sddp_alpha_6_45=1000
o,45,7,sddp_ecut_6_45_0_5,2.47341e+09,54874:23673.7,54905:16680.9,54936:8081.82,54967:5253.37,54998:14361.5,55029:1166.7,55091:4485.07,55122:2009.38,sddp_alpha_6_44=1000
o,44,7,sddp_ecut_6_44_0_6,2.51218e+09,54874:23781.4,54905:16783.5,54936:7930.88,54967:5255.31,54998:14429.4,55029:1011.44,55091:4108.87,55122:1828.16,sddp_alpha_6_43=1000
o,43,7,sddp_ecut_6_43_0_7,2.55736e+09,54874:23856,54905:16854.8,54936:7624.65,54967:5043.66,54998:14477,55029:948.136,55091:3707.22,55122:1756.78,sddp_alpha_6_42=1000
o,42,7,sddp_ecut_6_42_0_8,2.60809e+09,54374:24129.1,54405:17169.6,54436:7808.69,54467:5387.86,54498:14475.9,54529:889.949,54591:3848.77,54622:1796.05,sddp_alpha_6_41=1000
o,41,7,sddp_ecut_6_41_0_9,2.6597e+09,54374:24300,54405:17376.5,54436:7742.62,54467:5330.28,54498:14474.9,54529:920.446,54591:3870.49,54622:1762.17,sddp_alpha_6_40=1000
o,40,7,sddp_ecut_6_40_0_10,2.71757e+09,54374:24784,54405:17501.5,54436:8672.81,54467:5552.81,54498:14474.1,54529:1132.75,54591:5172.64,54622:2581.12,sddp_alpha_6_39=1000
o,39,7,sddp_ecut_6_39_0_11,2.77013e+09,54374:26414.8,54405:17499.2,54436:9094.31,54467:5552.81,54498:14473.2,54529:1313.97,54591:6507.74,54622:3561.8,sddp_alpha_6_38=1000
o,38,7,sddp_ecut_6_38_0_12,2.82181e+09,54374:27218.3,54405:17496.6,54436:9229.72,54467:5552.81,54498:14472.3,54529:1369.54,54591:7685.55,54622:4621.67,sddp_alpha_6_37=1000
o,37,7,sddp_ecut_6_37_0_13,2.86383e+09,54374:27610.4,54405:15617.8,54436:9491.85,54467:5961.35,54498:14471.3,54529:1371.16,54591:9084.98,54622:6138.62,sddp_alpha_6_36=1000
o,36,7,sddp_ecut_6_36_0_14,2.90644e+09,54374:27720.6,54405:6806.23,54436:9520.45,54467:6653.62,54498:14470.1,54529:1371.16,54591:9499.49,54622:7104.7,sddp_alpha_6_35=1000
o,35,7,sddp_ecut_6_35_0_15,2.94748e+09,54374:27720.6,54405:3746.95,54436:9018.07,54467:6653.62,54498:14468.8,54529:1339.89,54591:9530.69,54622:7064.6,sddp_alpha_6_34=1000
