# scale_objective=1000
type,phase,scene,name,rhs,dual,coefficients
o,37,1,sddp_ecut_0_37_36_13,1.02958e+10,,rsv_vol_1_50_37_370=258608,rsv_vol_6_50_37_370=43593.2,rsv_vol_21_50_37_370=75671.8,rsv_vol_28_50_37_370=39712.7,rsv_vol_37_50_37_370=52.0582,rsv_vol_63_50_37_370=13922.4,rsv_vol_65_50_37_370=96199.7,rsv_vol_67_50_37_370=66228.7,sddp_alpha_0_36=1000
o,36,1,sddp_ecut_0_36_36_14,1.10083e+10,,rsv_vol_1_50_36_360=258608,rsv_vol_6_50_36_360=34915.1,rsv_vol_21_50_36_360=71950,rsv_vol_28_50_36_360=39440.3,rsv_vol_37_50_36_360=57.5584,rsv_vol_63_50_36_360=13774.4,rsv_vol_65_50_36_360=100572,rsv_vol_67_50_36_360=73466,sddp_alpha_0_35=1000
o,35,1,sddp_ecut_0_35_36_15,1.17084e+10,,rsv_vol_1_50_35_350=258608,rsv_vol_6_50_35_350=17908.2,rsv_vol_21_50_35_350=56325.7,rsv_vol_28_50_35_350=28944.1,rsv_vol_37_50_35_350=61.5099,rsv_vol_63_50_35_350=13588.7,rsv_vol_65_50_35_350=100572,rsv_vol_67_50_35_350=72605.9,sddp_alpha_0_34=1000
o,34,1,sddp_ecut_0_34_36_16,1.23536e+10,,rsv_vol_1_50_34_340=258608,rsv_vol_6_50_34_340=6649.4,rsv_vol_21_50_34_340=25566.7,rsv_vol_28_50_34_340=10854,rsv_vol_37_50_34_340=64.969,rsv_vol_63_50_34_340=12676.1,rsv_vol_65_50_34_340=100587,rsv_vol_67_50_34_340=56673.6,sddp_alpha_0_33=1000
o,33,1,sddp_ecut_0_33_36_17,1.30657e+10,,rsv_vol_1_50_33_330=258608,rsv_vol_6_50_33_330=6241.28,rsv_vol_21_50_33_330=20281.4,rsv_vol_28_50_33_330=3212.44,rsv_vol_37_50_33_330=68.4466,rsv_vol_63_50_33_330=11319.9,rsv_vol_65_50_33_330=68404.6,rsv_vol_67_50_33_330=43474.7,sddp_alpha_0_32=1000
o,32,1,sddp_ecut_0_32_36_18,1.38258e+10,,rsv_vol_1_50_32_320=258608,rsv_vol_6_50_32_320=6256.14,rsv_vol_21_50_32_320=29697.6,rsv_vol_28_50_32_320=1405.44,rsv_vol_37_50_32_320=71.5757,rsv_vol_63_50_32_320=10025.1,rsv_vol_65_50_32_320=56928.5,rsv_vol_67_50_32_320=32869.1,sddp_alpha_0_31=1000
o,31,1,sddp_ecut_0_31_36_19,1.46959e+10,,rsv_vol_1_50_31_310=258608,rsv_vol_6_50_31_310=6276.73,rsv_vol_21_50_31_310=31054,rsv_vol_28_50_31_310=439.201,rsv_vol_37_50_31_310=75.6827,rsv_vol_63_50_31_310=11405.8,rsv_vol_65_50_31_310=51139.8,rsv_vol_67_50_31_310=26493.8,sddp_alpha_0_30=1000
o,30,1,sddp_ecut_0_30_36_20,1.56528e+10,,rsv_vol_1_50_30_300=258608,rsv_vol_6_50_30_300=6290.78,rsv_vol_21_50_30_300=31574.4,rsv_vol_28_50_30_300=0,rsv_vol_37_50_30_300=81.631,rsv_vol_63_50_30_300=11673.7,rsv_vol_65_50_30_300=51165.5,rsv_vol_67_50_30_300=24723.3,sddp_alpha_0_29=1000
o,29,1,sddp_ecut_0_29_36_21,1.66358e+10,,rsv_vol_1_50_29_290=258608,rsv_vol_6_50_29_290=6316.67,rsv_vol_21_50_29_290=30279.7,rsv_vol_28_50_29_290=0,rsv_vol_37_50_29_290=84.2552,rsv_vol_63_50_29_290=12218.3,rsv_vol_65_50_29_290=52007.6,rsv_vol_67_50_29_290=24664.5,sddp_alpha_0_28=1000
o,28,1,sddp_ecut_0_28_36_22,1.76674e+10,,rsv_vol_1_50_28_280=258608,rsv_vol_6_50_28_280=6346.78,rsv_vol_21_50_28_280=32856,rsv_vol_28_50_28_280=28.2723,rsv_vol_37_50_28_280=91.5835,rsv_vol_63_50_28_280=12266.3,rsv_vol_65_50_28_280=52979.3,rsv_vol_67_50_28_280=25678.7,sddp_alpha_0_27=1000
