# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,50,1,sddp_fcut_0_50_1_0,2.04244e+09,28054:-0,28085:-0,28116:-0,28147:-0,28178:-0,28209:-0,28271:-0,28302:-0,sddp_alpha_0_49=1000
o,49,1,sddp_fcut_0_49_1_1,6.39571e+08,28054:207993,28085:26.2668,28116:62873.9,28147:33653.2,28178:2.74822,28209:10506.3,28271:45111.6,28302:20191.9,sddp_alpha_0_48=1000
o,48,1,sddp_fcut_0_48_1_2,6.75042e+08,28054:176911,28085:15.1094,28116:53478.1,28147:28624.1,28178:3.0656,28209:8936.29,28271:38370.2,28302:17174.4,sddp_alpha_0_47=1000
o,47,1,sddp_fcut_0_47_1_3,6.33693e+08,28054:45299.4,28085:6.25504e-06,28116:0.0386137,28147:0.0136201,28178:0.179729,28209:8279.1,28271:-0,28302:8480.69,sddp_alpha_0_46=1000
o,46,1,sddp_fcut_0_46_1_4,6.08665e+08,28054:0.0785374,28085:-0,28116:-0,28147:-0,28178:0.167546,28209:9390.03,28271:-0,28302:-0,sddp_alpha_0_45=1000
o,45,1,sddp_fcut_0_45_1_5,6.72504e+08,28054:56770.7,28085:34801.9,28116:14739.1,28147:2269.71,28178:0.83708,28209:9479.14,28271:-0,28302:-222.39,sddp_alpha_0_44=1000
o,44,1,sddp_fcut_0_44_1_6,7.32123e+08,28054:186317,28085:130987,28116:54342.5,28147:27768.4,28178:2.6765,28209:9554.72,28271:41025.6,28302:18363,sddp_alpha_0_43=1000
o,43,1,sddp_fcut_0_43_1_7,8.14806e+08,28054:190662,28085:134891,28116:57635,28147:30849,28178:2.97954,28209:9630.92,28271:41352.8,28302:18509.4,sddp_alpha_0_42=1000
o,42,1,sddp_fcut_0_42_1_8,8.53134e+08,28004:157523,28035:102913,28066:48774.7,28097:22545.4,28128:3.16164,28159:9430.76,28221:40493.3,28252:18124.8,sddp_alpha_0_41=1000
o,41,1,sddp_fcut_0_41_1_9,8.60141e+08,28004:184793,28035:129913,28066:53898.1,28097:27541.3,28128:3.71691,28159:9476.58,28221:34444.6,28252:15417.4,sddp_alpha_0_40=1000
o,40,1,sddp_fcut_0_40_1_10,9.25395e+08,28004:220473,28035:155978,28066:66646.6,28097:35672.5,28128:8.70687,28159:11136.8,28221:47818.5,28252:21403.5,sddp_alpha_0_39=1000
o,39,1,sddp_fcut_0_39_1_11,8.36643e+08,28004:222822,28035:157647,28066:67356.7,28097:36052.6,28128:3.7369,28159:11255.4,28221:48328,28252:21631.5,sddp_alpha_0_38=1000
o,38,1,sddp_fcut_0_38_1_12,8.55582e+08,28004:-0,28035:-0,28066:-0,28097:-0,28128:-0,28159:-0,28221:-0,28252:-0,sddp_alpha_0_37=1000
o,37,1,sddp_fcut_0_37_1_13,7.69513e+08,28004:-0,28035:-0,28066:-0,28097:-0,28128:-0,28159:-0,28221:-0,28252:-0,sddp_alpha_0_36=1000
o,36,1,sddp_fcut_0_36_1_14,7.40262e+08,28004:-0,28035:-0,28066:-0,28097:-86740.9,28128:-0,28159:-0,28221:-0,28252:-0,sddp_alpha_0_35=1000
o,35,1,sddp_fcut_0_35_1_15,8.21521e+08,28004:235201,28035:166396,28066:71098.7,28097:38055.4,28128:5.3455,28159:11880.7,28221:51012.8,28252:22833.3,sddp_alpha_0_34=1000
o,34,1,sddp_fcut_0_34_1_16,7.81169e+08,28004:180614,28035:121856,28066:68198.8,28097:34848.8,28128:4.7835,28159:11991,28221:51486.3,28252:23045.2,sddp_alpha_0_33=1000
o,33,1,sddp_fcut_0_33_1_17,8.56804e+08,28004:225848,28035:167312,28066:71487.6,28097:38263.6,28128:5.44744,28159:11945.7,28221:51291.9,28252:22958.2,sddp_alpha_0_32=1000
o,32,1,sddp_fcut_0_32_1_18,8.56912e+08,28004:205821,28035:143041,28066:56071.4,28097:25918.2,28128:5.06508,28159:10841.6,28221:46551.1,28252:20836.2,sddp_alpha_0_31=1000
o,31,1,sddp_fcut_0_31_1_19,9.44905e+08,28004:194799,28035:126816,28066:32649.9,28097:-0,28128:7.48066,28159:11739.3,28221:50405.6,28252:22561.5,sddp_alpha_0_30=1000
o,30,1,sddp_fcut_0_30_1_20,1.02565e+09,28004:174637,28035:103973,28066:33935.9,28097:-0,28128:8.53385,28159:12201.7,28221:52391,28252:23450.1,sddp_alpha_0_29=1000
o,29,1,sddp_fcut_0_29_1_21,1.04593e+09,28004:200868,28035:130764,28066:33667.2,28097:-0,28128:6.2942,28159:12105.1,28221:52129.4,28252:23417.7,sddp_alpha_0_28=1000
o,28,1,sddp_fcut_0_28_1_22,1.05817e+09,28004:-0,28035:-0,28066:-0,28097:-0,28128:-0,28159:-0,28221:-0,28252:-0,sddp_alpha_0_27=1000
o,27,1,sddp_fcut_0_27_1_23,1.0189e+09,28004:-0,28035:-0,28066:-0,28097:-0,28128:-0,28159:-0,28221:-0,28252:-0,sddp_alpha_0_26=1000
