# Archivo con la duracion de las etapas V20240102100052
# Etapas
     276   'H'
# Ano  Mes  Etapa FDesh   NHoras    FactTasa    TipoEtapa
 011 006   126    F     720   2.698819   '10 Bloques'
 011 007   127    T     744   2.720340   '10 Bloques'
 011 008   128    T     720   2.742032   '10 Bloques'
 011 009   129    T     744   2.763898   '10 Bloques'
 011 010   130    T     744   2.785937   '10 Bloques'
 011 011   131    T     672   2.808153   '10 Bloques'
 011 012   132    T     744   2.830546   '10 Bloques'
 012 001   133    F     720   2.853117   '10 Bloques'
 012 002   134    F     744   2.875868   '10 Bloques'
 012 003   135    F     720   2.898800   '10 Bloques'
 012 004   136    F     744   2.921916   '10 Bloques'
 012 005   137    F     744   2.945216   '10 Bloques'
 012 006   138    F     720   2.968701   '10 Bloques'
 012 007   139    T     744   2.992374   '10 Bloques'
 012 008   140    T     720   3.016236   '10 Bloques'
 012 009   141    T     744   3.040288   '10 Bloques'
 012 010   142    T     744   3.064531   '10 Bloques'
 012 011   143    T     672   3.088968   '10 Bloques'
 012 012   144    T     744   3.113600   '10 Bloques'
 013 001   145    F     720   3.138428   '10 Bloques'
 013 002   146    F     744   3.163455   '10 Bloques'
 013 003   147    F     720   3.188680   '10 Bloques'
 013 004   148    F     744   3.214107   '10 Bloques'
 013 005   149    F     744   3.239737   '10 Bloques'
 013 006   150    F     720   3.265571   '10 Bloques'
 013 007   151    T     744   3.291611   '10 Bloques'
 013 008   152    T     720   3.317859   '10 Bloques'
 013 009   153    T     744   3.344316   '10 Bloques'
 013 010   154    T     744   3.370984   '10 Bloques'
 013 011   155    T     696   3.397865   '10 Bloques'
 013 012   156    T     744   3.424960   '10 Bloques'
 014 001   157    F     720   3.452271   '10 Bloques'
 014 002   158    F     744   3.479800   '10 Bloques'
 014 003   159    F     720   3.507549   '10 Bloques'
 014 004   160    F     744   3.535518   '10 Bloques'
 014 005   161    F     744   3.563711   '10 Bloques'
 014 006   162    F     720   3.592128   '10 Bloques'
 014 007   163    T     744   3.620773   '10 Bloques'
 014 008   164    T     720   3.649645   '10 Bloques'
 014 009   165    T     744   3.678748   '10 Bloques'
 014 010   166    T     744   3.708083   '10 Bloques'
 014 011   167    T     672   3.737652   '10 Bloques'
 014 012   168    T     744   3.767456   '10 Bloques'
 015 001   169    F     720   3.797498   '10 Bloques'
 015 002   170    F     744   3.827780   '10 Bloques'
 015 003   171    F     720   3.858303   '10 Bloques'
 015 004   172    F     744   3.889070   '10 Bloques'
 015 005   173    F     744   3.920082   '10 Bloques'
 015 006   174    F     720   3.951341   '10 Bloques'
 015 007   175    T     744   3.982850   '10 Bloques'
 015 008   176    T     720   4.014610   '10 Bloques'
 015 009   177    T     744   4.046623   '10 Bloques'
 015 010   178    T     744   4.078891   '10 Bloques'
 015 011   179    T     672   4.111417   '10 Bloques'
 015 012   180    T     744   4.144202   '10 Bloques'
 016 001   181    F     720   4.177248   '10 Bloques'
 016 002   182    F     744   4.210558   '10 Bloques'
 016 003   183    F     720   4.244134   '10 Bloques'
 016 004   184    F     744   4.277977   '10 Bloques'
 016 005   185    F     744   4.312090   '10 Bloques'
 016 006   186    F     720   4.346475   '10 Bloques'
 016 007   187    T     744   4.381135   '10 Bloques'
 016 008   188    T     720   4.416071   '10 Bloques'
 016 009   189    T     744   4.451285   '10 Bloques'
 016 010   190    T     744   4.486780   '10 Bloques'
 016 011   191    T     672   4.522558   '10 Bloques'
 016 012   192    T     744   4.558622   '10 Bloques'
 017 001   193    F     720   4.594973   '10 Bloques'
 017 002   194    F     744   4.631614   '10 Bloques'
 017 003   195    F     720   4.668547   '10 Bloques'
 017 004   196    F     744   4.705775   '10 Bloques'
 017 005   197    F     744   4.743299   '10 Bloques'
 017 006   198    F     720   4.781123   '10 Bloques'
