# Archivo de mantenimientos embalses (plpmanem.dat)
# Numero de embalses con mantenimientos
 1 
# Nombre del embalse
'ELTORO'
#   Numero de Etapas con mantenimiento
   216
#   Mes   Etapa     VolMin     VolMax
     00     001  0.0514488  0.5585888
     00     002  0.0514488  0.5585888
     00     003  0.0514488  0.5585888
     00     004  0.0514488  0.5585888
     00     005  0.0514488  0.5585888
     00     006  0.0514488  0.5585888
     00     007  0.0628563  0.5585888
     00     008  0.0628563  0.5585888
     00     009  0.0628563  0.5585888
     00     010  0.0628563  0.5585888
     00     011  0.0628563  0.5585888
     00     012  0.0628563  0.5585888
     00     013  0.0628563  0.5585888
     00     014  0.0628563  0.5585888
     00     015  0.0628563  0.5585888
     00     016  0.0628563  0.5585888
     00     017  0.0628563  0.5585888
     00     018  0.0628563  0.5585888
     00     019  0.0747538  0.5585888
     00     020  0.0747538  0.5585888
     00     021  0.0747538  0.5585888
     00     022  0.0747538  0.5585888
     00     023  0.0747538  0.5585888
     00     024  0.0747538  0.5585888
     00     025  0.0747538  0.5585888
     00     026  0.0747538  0.5585888
     00     027  0.0747538  0.5585888
     00     028  0.0747538  0.5585888
     00     029  0.0747538  0.5585888
     00     030  0.0747538  0.5585888
     00     031  0.0871611  0.5585888
     00     032  0.0871611  0.5585888
     00     033  0.0871611  0.5585888
     00     034  0.0871611  0.5585888
     00     035  0.0871611  0.5585888
     00     036  0.0871611  0.5585888
     00     037  0.0871611  0.5585888
     00     038  0.0871611  0.5585888
     00     039  0.0871611  0.5585888
     00     040  0.0871611  0.5585888
     00     041  0.0871611  0.5585888
     00     042  0.0871611  0.5585888
     00     043  0.1000883  0.5585888
     00     044  0.1000883  0.5585888
     00     045  0.1000883  0.5585888
     00     046  0.1000883  0.5585888
     00     047  0.1000883  0.5585888
     00     048  0.1000883  0.5585888
     00     049  0.1000883  0.5585888
     00     050  0.1000883  0.5585888
     00     051  0.1000883  0.5585888
     00     052  0.1000883  0.5585888
     00     053  0.1000883  0.5585888
     00     054  0.1000883  0.5585888
     00     055  0.1135255  0.5585888
     00     056  0.1135255  0.5585888
     00     057  0.1135255  0.5585888
     00     058  0.1135255  0.5585888
     00     059  0.1135255  0.5585888
     00     060  0.1135255  0.5585888
     00     061  0.1135255  0.5585888
     00     062  0.1135255  0.5585888
     00     063  0.1135255  0.5585888
     00     064  0.1135255  0.5585888
     00     065  0.1135255  0.5585888
     00     066  0.1135255  0.5585888
     00     067  0.1274325  0.5585888
     00     068  0.1274325  0.5585888
     00     069  0.1274325  0.5585888
     00     070  0.1274325  0.5585888
     00     071  0.1274325  0.5585888
     00     072  0.1274325  0.5585888
     00     073  0.1274325  0.5585888
     00     074  0.1274325  0.5585888
     00     075  0.1274325  0.5585888
     00     076  0.1274325  0.5585888
     00     077  0.1274325  0.5585888
     00     078  0.1274325  0.5585888
     00     079  0.1417893  0.5585888
     00     080  0.1417893  0.5585888
     00     081  0.1417893  0.5585888
     00     082  0.1417893  0.5585888
     00     083  0.1417893  0.5585888
     00     084  0.1417893  0.5585888
     00     085  0.1417893  0.5585888
     00     086  0.1417893  0.5585888
     00     087  0.1417893  0.5585888
     00     088  0.1417893  0.5585888
     00     089  0.1417893  0.5585888
     00     090  0.1417893  0.5585888
     00     091  0.1417893  0.5585888
     00     092  0.1417893  0.5585888
     00     093  0.1417893  0.5585888
     00     094  0.1417893  0.5585888
     00     095  0.1417893  0.5585888
     00     096  0.1417893  0.5585888
     00     097  0.1417893  0.5585888
     00     098  0.1417893  0.5585888
     00     099  0.1417893  0.5585888
     00     100  0.1417893  0.5585888
     00     101  0.1417893  0.5585888
     00     102  0.1417893  0.5585888
     00     103  0.1417893  0.5585888
     00     104  0.1417893  0.5585888
     00     105  0.1417893  0.5585888
     00     106  0.1417893  0.5585888
     00     107  0.1417893  0.5585888
     00     108  0.1417893  0.5585888
     00     109  0.1417893  0.5585888
     00     110  0.1417893  0.5585888
     00     111  0.1417893  0.5585888
     00     112  0.1417893  0.5585888
     00     113  0.1417893  0.5585888
     00     114  0.1417893  0.5585888
     00     115  0.1417893  0.5585888
     00     116  0.1417893  0.5585888
     00     117  0.1417893  0.5585888
     00     118  0.1417893  0.5585888
     00     119  0.1417893  0.5585888
     00     120  0.1417893  0.5585888
     00     121  0.1417893  0.5585888
     00     122  0.1417893  0.5585888
     00     123  0.1417893  0.5585888
     00     124  0.1417893  0.5585888
     00     125  0.1417893  0.5585888
     00     126  0.1417893  0.5585888
     00     127  0.1417893  0.5585888
     00     128  0.1417893  0.5585888
     00     129  0.1417893  0.5585888
     00     130  0.1417893  0.5585888
