# Archivo de configuracion de lineas (plpcnfli.dat)
# Num.Lineas 449   Modela Perdidas  Perd.en.ERM   Ang. de Ref.
         449          T             'M'         1000.d0
# Caracteristicas de las Lineas
# Nombre                                              F.Max. A-B F.Max. B-A  Barra A  Barra B   Tension  R(Ohm)  X(ohm)   Mod.Perd.  Num.Tramos   Operativa   LinDC
'Pachacama110->LasVegas110'                          380.0      380.0       24       25     110.0   0.430   2.438      T           3            T            F
'PuntaPeuco110->LasVegas110'                         300.0      300.0       26       25     110.0   1.857   6.818      T           3            T            F
'Batuco110->PuntaPeuco110'                           300.0      300.0       27       26     110.0   0.889   3.661      T           3            T            F
'CerroNavia110->Batuco110'                           300.0      300.0       35       27     110.0   1.029   3.787      T           3            T            F
'Polpaico220->Quillota220'                          1300.0     1300.0       28       16     220.0   0.458   7.746      T           3            T            F
'Polpaico220->LosMaquis220'                          318.9      318.9       28       30     220.0   6.775  27.770      T           3            T            F
'Polpaico220->ElLlano220'                            318.9      318.9       28       31     220.0   3.640  15.380      T           3            T            F
'ElLlano220->LosMaquis220'                           318.9      318.9       31       30     220.0   3.120  12.790      T           3            T            F
'CerroNavia220->CNaviaDesf220'                       614.0      614.0       34      119     220.0   0.072   4.971      T           3            T            F
'CerroNaviaDesf220->Lampa220'                        307.0      307.0      119       29     220.0   0.601   2.742      T           3            T            F
'Lampa220->Polpaico220'                              307.0      307.0       29       28     220.0   0.762   3.472      T           3            T            F
'Rapel220->AltoMelipilla220'                         350.0      350.0       32       33     220.0   1.723   7.892      T           3            T            F
'LoAguirre220->CerroNavia220_I'                     1756.0     1756.0      131       34     220.0   0.123   1.898      T           3            T            F
'Polpaico500->Polpaico220'                          1100.0     1100.0      101       28     500.0   0.250  24.375      T           3            T            F
'AltoJahuel500->LoAguirre500'                       1663.0     1663.0      102      130     500.0   0.447   5.198      T           3            T            F
'LoAguirre500->Polpaico500'                         1801.0     1801.0      130      101     500.0   0.750   8.675      T           3            T            F
'LoAguirre500->LoAguirre220'                         750.0      750.0      130      131     500.0   0.441  46.520      T           3            T            F
'AltoJahuel220->Chena220'                           1149.0     1149.0       37       36     220.0   0.784   4.610      T           3            T            F
'Chena220->CerroNavia220'                            409.0      409.0       36       34     220.0   0.595   2.445      T           3            T            F
'Maipo220->AltoJahuel220'                            900.0      900.0      247       37     220.0   0.001   0.100      T           3            T            F
'Candelaria220->Maipo220'                            900.0      900.0       93      247     220.0   0.871   7.423      T           3            T            F
'Colbun220->PuenteNegro220'                          900.0      900.0       38      237     220.0   2.323  13.857      T           3            T            F
'PuenteNegro220->Candelaria220'                      900.0      900.0      237       93     220.0   1.568  13.362      T           3            T            F
'PuenteNegro220->Tinguiririca220'                    567.0      567.0      237      118     220.0   0.439   2.543      T           3            T            F
'Tinguiririca220->Tinguiririca154'                   300.0      300.0      118      117     220.0   0.242  44.983      T           3            T            F
'AltoJahuel500A->AltoJahuel500'                     2600.0     2600.0      152      102     500.0   0.010   0.100      T           3            T            F
'Ancoa500->AltoJahuel500A'                          2600.0     2600.0       97      152     500.0   1.989  11.109      T           3            T            F
'AltoJahuel500A->AltoJahuel220'                     1800.0     1800.0      152       37     500.0   0.156  16.480      T           3            T            F
'Ancoa500Aux->Ancoa500'                             3000.0     3000.0      103       97     500.0   0.010   0.100      F           3            T            F
'Ancoa500->Ancoa220'                                1100.0     1100.0       97       54     500.0   0.250  24.375      T           3            T            F
'Ancoa220->Colbun220'                                600.0      600.0       54       38     220.0   0.002   0.044      T           3            T            F
'Charrua500->Ancoa500Aux'                           3300.0     3300.0      105      103     500.0   4.283  49.335      T           3            T            F
'Charrua500->EntreRios500'                          1697.0     1697.0      105      106     500.0   0.201   2.493      T           3            T            F
'EntreRios500->Ancoa500Aux'                         2944.0     2944.0      106      103     500.0   2.348  12.907      T           3            T            F
'EntreRios500->EntreRios220'                         750.0      750.0      106       57     500.0   0.500  48.750      T           3            T            F
'EntreRios220->Charrua220A'                         1000.0     1000.0       57       56     220.0   0.096   1.438      T           3            T            F
'Charrua500->Charrua220A'                           2100.0     2100.0      105       56     500.0   0.167  15.731      T           3            T            F
'Charrua220->Charrua220A'                           2700.0     2700.0       55       56     220.0   0.010   0.100      F           3            T            F
'AltoJahuel220->AltoJahuel154'                       300.0      300.0       37       39     220.0   0.097  15.569      T           3            T            F
'Tinguiririca154->SanFernando154'                    108.0      108.0      117       46     154.0   0.650   1.633      T           3            T            F
'Tuniche154->Rancagua154'                            358.0      358.0       98       43     154.0   0.439   1.968      T           3            T            F
'Fatima154->AltoJahuel154'                           364.0      364.0       41       39     154.0   0.596   2.980      T           3            T            F
'Paine154->Fatima154'                                364.0      364.0       42       41     154.0   0.108   0.540      T           3            T            F
'Tuniche154->Paine154'                               396.0      396.0       98       42     154.0   1.207   6.375      T           3            T            F
'PuntaCortes154->Tuniche154'                         182.0      182.0       44       98     154.0   0.523   1.901      T           3            T            F
'Malloa154->PuntaCortes154'                          214.0      214.0       99       44     154.0   1.233   6.504      T           3            T            F
'Tinguiririca154->Malloa154'                         214.0      214.0      117       99     154.0   0.706   3.724      T           3            T            F
'Teno154->Tinguiririca154'                           430.0      430.0       47      117     154.0   1.327   7.007      T           3            T            F
'Itahue154->Teno154'                                 430.0      430.0       48       47     154.0   1.345   7.103      T           3            T            F
'PuntaCortes154->Rancagua154'                        396.0      396.0       44       43     154.0   0.962   3.870      T           3            T            F
'Ancoa220->SantaIsabel220'                           481.0      481.0       54      243     220.0   0.552   5.083      T           3            T            F
'SantaIsabel220->Itahue220'                          481.0      481.0      243      104     220.0   0.882   8.113      T           3            T            F
'SantaIsabel220->Maule220'                           299.0      299.0      243      244     220.0   1.928   8.308      T           3            T            F
'Maule220->Maule154'                                 300.0      300.0      244       50     220.0   0.281  20.630      T           3            T            F
'Itahue220->Itahue154'                               300.0      300.0      104       48     220.0   0.097  15.488      T           3            T            F
'Itahue154->Itahue066'                               285.0      285.0       48       82     154.0   0.100  10.120      T           3            T            F
'Itahue066->Talca066_1'                               82.0       82.0       82       84      66.0   5.809   8.929      T           3            T            F
'Cipreses154->Itahue154'                             286.0      286.0       49       48     154.0   4.898  22.046      T           3            T            F
'Itahue154->Maule154'                                160.1      160.1       48       50     154.0   5.668  17.716      T           3            T            F
'Maule154->Maule066'                                 120.0      120.0       50       83     154.0   0.468  27.506      T           3            T            F
'Maule066->Talca066_2'                                52.0       52.0       83       85      66.0   1.388   2.800      T           3            T            F
'Maule154->YerbasBuenas154'                          107.0      107.0       50      246     154.0   2.821  10.098      T           3            T            F
'YerbasBuenas154->Linares154'                        160.0      160.0      246       51     154.0   2.560   8.017      T           3            T            F
'Talca066_2->SanJavier066'                            34.3       34.3       85       81      66.0   6.512   7.913      T           3            T            F
'Charrua220->Charrua154'                             390.0      390.0       55       58     220.0   0.242  13.552      T           3            T            F
'SanVicente154->Petroquim154'                        215.0      215.0       61       62     154.0   0.207   0.883      T           3            T            F
'Petroquim154->Hualpen154'                           215.0      215.0       62       63     154.0   0.314   1.337      T           3            T            F
'Charrua154->Charrua066_2'                           150.0      150.0       58       86     154.0   0.866  22.388      T           3            T            F
'Pehuenche220->Ancoa220'                            1023.1     1023.1       87       54     220.0   0.508   4.743      T           3            T            F
'Rucue220->Charrua220'                               362.0      362.0       88       55     220.0   1.718  12.294      T           3            T            F
'Antuco220->Charrua220'                             1023.1     1023.1       89       55     220.0   1.404  12.899      T           3            T            F
'Charrua154->Chillan154'                              81.0       81.0       58       53     154.0   7.373  27.439      T           3            T            F
'Alfalfal220->Florida110'                            220.0      220.0      238      129     220.0   3.817  36.980      T           3            T            F
'Alfalfal220->Almendros220'                          339.0      339.0      238      123     220.0   1.600   8.940      T           3            T            F
'Polpaico220->ElSalto110'                            780.0      780.0       28      120     220.0   0.724  28.064      T           3            T            F
'Almendros220->AltoJahuel220'                        846.1      846.1      123       37     220.0   1.210   8.398      T           3            T            F
'Almendros220->Almendros110'                         400.0      400.0      123      124     220.0   0.121  12.790      T           3            T            F
'CerroNavia220->CerroNavia110'                       800.0      800.0       34       35     220.0   0.089  20.488      T           3            T            F
