"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,26.825531914893606,40.72446808510636,9.265957446808505,17.5595744680851,2.4404255319148986
1,1,2,19.106382978723406,26.8936170212766,5.191489361702128,13.914893617021276,4.085106382978723
1,1,3,18.23404255319149,25.76595744680851,5.021276595744681,13.212765957446807,3.787234042553193
1,1,4,30.182978723404226,48.91702127659571,12.489361702127644,17.693617021276584,-0.6936170212765834
1,1,5,19.106382978723406,26.8936170212766,5.191489361702128,13.914893617021276,4.085106382978723
1,1,6,22.595744680851066,31.40425531914893,5.872340425531916,16.723404255319153,5.276595744680849
1,1,7,28.510638297872344,39.48936170212766,7.319148936170213,21.19148936170213,6.808510638297872
1,1,8,38.93617021276596,54.06382978723404,10.085106382978728,28.85106382978723,9.148936170212767
1,1,9,49.361702127659576,68.6382978723404,12.851063829787234,36.51063829787235,11.489361702127656
1,1,10,58.48085106382978,82.36914893617019,15.92553191489362,42.55531914893617,12.44468085106383
1,1,11,61.77872340425532,87.07127659574465,16.861702127659576,44.91702127659575,13.08297872340426
1,1,12,66.17872340425527,94.47127659574461,18.86170212765953,47.31702127659574,12.682978723404267
1,1,13,73.14893617021276,106.85106382978721,22.468085106382983,50.68085106382978,11.319148936170224
1,1,14,61.87234042553193,86.12765957446807,16.17021276595745,45.70212765957448,14.297872340425524
1,1,15,63,89.99999999999999,18,44.99999999999999,12.000000000000009
1,1,16,58.48085106382978,82.36914893617019,15.925531914893613,42.55531914893617,12.44468085106383
1,1,17,59.69361702127658,84.15638297872341,16.30851063829787,43.38510638297871,12.614893617021295
1,1,18,63.86382978723404,89.98617021276594,17.414893617021274,46.44893617021277,13.55106382978723
1,1,19,53.72340425531913,89.27659574468085,23.702127659574472,55.02127659574468,12.97872340425532
1,1,20,40.140425531914836,88.45957446808508,32.21276595744683,64.32765957446809,10.672340425531909
1,1,21,39.744680851063805,85.25531914893614,30.340425531914907,61.404255319148945,10.595744680851059
1,1,22,43.829787234042556,81.17021276595743,24.89361702127661,53.936170212765965,11.063829787234036
1,1,23,52.127659574468076,72.8723404255319,13.82978723404256,38.29787234042552,11.702127659574481
1,1,24,36.03404255319149,51.8159574468085,10.521276595744684,25.51276595744681,6.487234042553192
