#Numero, Nombre, Tipo, Empresa, Barra
 158,EL_GALPON                                       ,P,   0,   1,
 159,MELO                                            ,P,   0,   1,
 160,CALIBORO                                        ,P,   0,   1,
 161,SANTA_ISABEL                                    ,P,   0,   1,
 162,LA_MONTANA_2                                    ,P,   0,   1,
 163,TRUFUL-TRUFUL                                   ,P,   0,   1,
 164,DONGUIL                                         ,P,   0,   1,
 165,COLLIL                                          ,P,   0,   1,
 166,EL_MIRADOR                                      ,P,   0,   1,
 167,MARIA_ELENA                                     ,P,   0,   1,
 168,EL_ARRAYAN                                      ,P,   0,   1,
 169,PIUTEL                                          ,P,   0,   1,
 170,DOS_VALLES                                      ,P,   0,   1,
 171,PALACIOS                                        ,P,   0,   1,
 172,EL_COLORADO                                     ,P,   0,   1,
 173,MSA_1                                           ,P,   0,   1,
 174,MALALCAHUELLO                                   ,P,   0,   1,
 175,CARILAFQUEN                                     ,P,   0,   1,
 176,MOLINERA_VILLARRICA                             ,P,   0,   1,
 177,MAISAN                                          ,P,   0,   1,
 178,LOS_CORRALES_1                                  ,P,   0,   1,
 179,LOS_CORRALES_2                                  ,P,   0,   1,
 180,LOS_PORTONES                                    ,P,   0,   1,
 181,CHAPIQUINA                                      ,P,   0,   1,
 182,EL_RINCON                                       ,P,   0,   1,
 183,QUILLAILEO                                      ,P,   0,   1,
 184,MULCHEN                                         ,P,   0,   1,
 185,LA_VINA                                         ,P,   0,   1,
 186,EL_TARTARO                                      ,P,   0,   1,
 187,LAS_FLORES                                      ,P,   0,   1,
 188,PICHILONCO                                      ,P,   0,   1,
 189,BOQUIAMARGO                                     ,P,   0,   1,
 190,DOSAL                                           ,P,   0,   1,
 191,PANGUIPULLI                                     ,P,   0,   1,
 192,CONTRA                                          ,P,   0,   1,
 193,CURILEUFU                                       ,P,   0,   1,
 194,BUREO                                           ,P,   0,   1,
 195,MUNILQUE_1                                      ,P,   0,   1,
 196,MUNILQUE_2                                      ,P,   0,   1,
 197,BIFURCADA                                       ,P,   0,   1,
 198,EL_BRINCO                                       ,P,   0,   1,
 199,PALMAR                                          ,P,   0,   1,
 200,CORRENTOSO                                      ,P,   0,   1,
 201,EL_PINAR                                        ,P,   0,   1,
 202,DONA_HILDA                                      ,P,   0,   1,
 203,CIPRESILLOS                                     ,P,   0,   1,
 204,DIGUA                                           ,P,   0,   1,
 205,HIDROMOCHO                                      ,P,   0,   1,
 206,LA_CONFIANZA                                    ,P,   0,   1,
 207,AILLIN                                          ,P,   0,   1,
 208,EL_ATAJO                                        ,P,   0,   1,
 209,HIDRO_BONITO_MC3                                ,P,   0,   1,
 210,CORRALES                                        ,P,   0,   1,
 211,COMPANIA_2                                      ,P,   0,   1,
 212,PUNTA_DEL_VIENTO                                ,P,   0,   1,
 213,COSAPILLA                                       ,P,   0,   1,
 214,PIEDRAS_NEGRAS                                  ,P,   0,   1,
 215,DOS_VALLES_AMPL                                 ,T,   0,   1,
 216,DOS_VALLES_AMPL2                                ,T,   0,   1,
 217,CAVANCHA                                        ,T,   0,   1,
 218,ALTO_HOSPICIO                                   ,T,   0,   1,
 219,EL_TORO_N2                                      ,T,   0,   1,
 220,SANTA_ROSA                                      ,T,   0,   1,
 221,TRUPAN                                          ,T,   0,   1,
 222,SAN_JOSE                                        ,T,   0,   1,
 223,MORAGA                                          ,T,   0,   1,
 224,SAN_LUIS                                        ,T,   0,   1,
 225,TRES_AGUAS                                      ,T,   0,   1,
 226,TRANCA_DEL_TORO                                 ,T,   0,   1,
 227,EL_PORTAL                                       ,T,   0,   1,
 228,LAS_FLORES_AMP                                  ,T,   0,   1,
 229,VALLE_DE_LOS_VIENTOS_EO                         ,T,   0,   1,
 230,SIERRA_GORDA_EO                                 ,T,   0,   1,
 231,LEBU_EO                                         ,T,   0,   1,
 232,LEBU_3_EO                                       ,T,   0,   1,
 233,LAS_PENAS_EO                                    ,T,   0,   1,
 234,HUAJACHE_EO                                     ,T,   0,   1,
 235,RAKI_EO                                         ,T,   0,   1,
 236,TALINAY_ORIENTE_EO                              ,T,   0,   1,
 237,TALINAY_PONIENTE_EO                             ,T,   0,   1,
 238,EL_ARRAYAN_EO                                   ,T,   0,   1,
 239,TOTORAL_EO                                      ,T,   0,   1,
 240,PUNTA_COLORADA_EO                               ,T,   0,   1,
 241,LOS_BUENOS_AIRES_EO                             ,T,   0,   1,
 242,UCUQUER_EO                                      ,T,   0,   1,
 243,UCUQUER_2_EO                                    ,T,   0,   1,
 244,CANELA_EO                                       ,T,   0,   1,
 245,CANELA_2_EO                                     ,T,   0,   1,
 246,MONTE_REDONDO_EO                                ,T,   0,   1,
 247,AURORA_EO                                       ,T,   0,   1,
 248,SARCO_EO                                        ,T,   0,   1,
 249,CABO_LEONES_1_EO                                ,T,   0,   1,
 250,SAN_JUAN_EO                                     ,T,   0,   1,
 251,CUEL_EO                                         ,T,   0,   1,
 252,LA_ESPERANZA_EO                                 ,T,   0,   1,
 253,LA_FLOR_EO                                      ,T,   0,   1,
 254,EL_MAITEN_EO                                    ,T,   0,   1,
 255,RENAICO_EO                                      ,T,   0,   1,
 256,SAN_PEDRO_EO                                    ,T,   0,   1,
