#IPDNumIte, IEtapa, ISimul, LDPhiPrv, Emb  1, Emb  2, Emb  3, Emb  4, Emb  5, Emb  6, Emb  7, Emb  8, Emb  9, Emb  10
22,1,11,2053954823,-82.0400161,-63.96885307,-31.51620309,-16.12548434,-51.15218192,-5.896439376,-1.644772604,-23.44421123,-10.49295232,-5.314853697
22,1,12,1991528495,-83.27813498,-283.8820774,-32.98784754,-16.75992136,-50.25929834,-6.235750293,-1.74325515,-24.10539006,-10.91467067,-5.945401612
22,1,13,2040727399,-84.33070784,-102.2870017,-32.52938714,-16.67276484,-50.24727778,-6.18662092,-1.515503053,-23.89716367,-10.63371854,-5.517406159
22,1,14,2041536438,-84.93641456,-159.951531,-32.98399924,-16.8305631,-50.26275413,-6.216574583,-1.462658211,-24.11739892,-10.87456445,-5.89512412
22,1,15,2064400973,-84.94437888,-155.8363773,-33.70954896,-16.8416648,-50.28784148,-6.40502612,-1.65940613,-24.17360014,-11.6265178,-6.30388057
22,1,16,2046738979,-85.9879386,-83.72768751,-33.46452398,-16.80397985,-50.27765604,-6.36564628,-1.709875063,-23.84996521,-11.48481804,-6.766142479
22,1,17,2047891517,-85.90099651,-83.11298583,-32.66609971,-16.7467584,-50.25166283,-6.194784867,-1.708262834,-23.81143937,-10.74874589,-6.166564171
22,1,18,2073861981,-99.95982718,-255.4926467,-37.17521946,-18.69947995,-50.58598617,-6.867435281,-3.690344098,-28.28301453,-12.70867977,-5.974805389
22,1,19,2045494294,-85.30740522,-156.8493586,-32.90422479,-16.83919675,-50.26075656,-6.198734405,-1.590295779,-24.11391193,-10.78274734,-5.642396578
22,1,20,2042548224,-85.42196509,-83.57826425,-32.67546767,-16.83427363,-50.25666912,-6.193469871,-1.717796493,-24.05346343,-10.76357839,-6.567583223
22,1,21,2012564019,-83.6289952,-290.1291291,-38.7169416,-20.59547132,-50.32092303,-6.751149987,-1.812995577,-24.51146635,-12.43086579,-6.490275524
22,1,22,2075243780,-84.82206394,-68.0762192,-34.20470137,-16.83469732,-50.31202816,-6.579990561,-3.142113293,-24.34004505,-12.02674432,-6.706292858
22,1,23,2088528909,-116.0288985,-257.8901432,-38.68377037,-19.89761737,-50.65636278,-6.955117909,-8.044584747,-28.76255153,-12.91904631,-8.217046562
22,1,24,2080172742,-105.4586422,-255.2918882,-34.87816459,-16.85152143,-50.33898571,-6.737685895,-5.665013009,-24.45030433,-12.41192155,-6.799372326
22,1,25,2048745784,-85.75545404,-66.10415221,-32.10125041,-16.67052162,-50.24250932,-6.119636424,-1.557859115,-23.64724808,-10.51502471,-5.843200348
22,1,26,2049144260,-82.19392839,-65.81751341,-31.6627177,-16.31932999,-50.20453715,-6.065878831,-1.74784867,-23.694609,-10.52344326,-6.342714942
22,1,27,2015521526,-81.85659633,-188.8288672,-33.36186641,-16.6579799,-50.27748449,-6.37441054,-1.966310665,-23.95378078,-11.50957228,-6.761356869
22,1,28,2054949063,-81.70663892,-63.52671641,-31.29327884,-16.0663381,-51.13234911,-5.872474938,-1.699385244,-23.37400748,-10.45642419,-5.339888795
23,1,1,2048367193,-84.30106908,-72.16414891,-32.74534781,-16.70471049,-50.2479445,-6.173364774,-1.714147566,-23.872192,-10.63586778,-5.621958379
23,1,2,2047905684,-82.24756017,-63.84341765,-31.38742754,-16.18503088,-50.17891694,-5.863967751,-1.153864568,-23.4990478,-10.45256277,-5.282385971
23,1,3,2052936019,-81.73627507,-63.55600555,-31.28168327,-16.16826916,-51.15826563,-6.125589648,-1.9516323,-23.34767766,-10.33725677,-5.54227711
23,1,4,2052442798,-80.30633022,-62.08582062,-30.72575743,-15.43323973,-50.39226139,-5.875654687,-1.204711494,-23.00830903,-10.46195633,-5.124762378
23,1,5,2054079720,-80.97447393,-82.87462942,-32.96336324,-16.99143767,-50.812053,-6.219708065,-1.839664608,-23.55732977,-10.84865403,-5.61881463
23,1,6,2056994859,-81.73672086,-64.49957459,-32.19420472,-16.34768728,-51.01430485,-6.210379232,-1.705524189,-23.53820007,-10.78041822,-5.467794223
23,1,7,2058237854,-81.6343752,-63.49368554,-31.54838138,-16.12078347,-50.94510313,-6.089449732,-1.764780516,-23.42295139,-10.55454907,-5.336516436
23,1,8,2057833270,-81.60993639,-63.48322457,-31.50307912,-16.10951932,-50.93531149,-6.126134856,-1.895219371,-23.42083034,-10.5169538,-5.48682294
23,1,9,1987094704,-80.97225541,-178.397429,-33.42424621,-17.24164829,-51.21254075,-6.242568051,-2.102892366,-23.74583641,-10.88731256,-6.232099157
23,1,10,2053846301,-81.73344831,-70.42824711,-32.35469848,-16.35018653,-51.18384165,-6.148476408,-1.894235658,-23.45375724,-10.67631971,-6.313129603
23,1,11,2054127808,-82.0205043,-63.96694517,-31.54534277,-16.13262728,-51.15349068,-6.108115194,-1.657250124,-23.45996181,-10.5194559,-5.315931245
23,1,12,1950264798,-83.24951906,-283.8686649,-32.97401655,-16.7498477,-50.25897992,-6.23465039,-1.750199626,-24.04484668,-10.91358,-5.947287419
23,1,13,2044824319,-84.33318889,-84.73087327,-32.52152419,-16.67259718,-50.24574418,-6.185306574,-1.516314691,-23.89357141,-10.62934323,-5.518019859
23,1,14,2041236476,-84.93113404,-159.8756438,-32.98537688,-16.83049682,-50.26283861,-6.216485037,-1.467874398,-24.11707791,-10.87518335,-5.896724521
23,1,15,2064409161,-84.94414234,-155.8379239,-33.71016759,-16.84228344,-50.28787397,-6.404906681,-1.665272018,-24.17318295,-11.62644801,-6.305590923
23,1,16,2048110510,-85.91418547,-86.50426768,-33.53511504,-16.79265071,-50.28002662,-6.376780861,-1.714498864,-23.83181805,-11.51166019,-6.77570447
23,1,17,2044509021,-85.96233269,-101.1849573,-32.66295064,-16.7532632,-50.252557,-6.195993161,-1.710705546,-23.82850651,-10.75519662,-6.167355015
23,1,18,2074909508,-104.3553397,-255.4275077,-37.10565644,-18.66891454,-50.61975525,-6.855578479,-4.17463889,-28.23695587,-12.67172653,-5.980108913
23,1,19,2045743049,-85.30424835,-159.0042085,-32.91268948,-16.83818951,-50.26085273,-6.199686926,-1.596089405,-24.11463325,-10.78597154,-5.643169097
23,1,20,2042546664,-85.41902526,-83.57640834,-32.6699818,-16.83336647,-50.25660804,-6.19389252,-1.72262681,-24.04524828,-10.7601959,-6.567617794
23,1,21,2012588452,-83.62982698,-290.0467826,-38.67374999,-20.57267917,-50.32044216,-6.74539717,-1.818949321,-24.50654324,-12.41844247,-6.49128692
23,1,22,2075603656,-84.82314526,-67.83010901,-34.17641166,-16.83504173,-50.31519933,-6.568806594,-3.820902782,-24.32820254,-12.0087309,-6.699442348
23,1,23,2089723037,-117.5768694,-258.6223849,-39.60033767,-20.67427623,-50.65823299,-6.987354815,-8.470030136,-28.94915027,-13.04938834,-7.013684245
23,1,24,2080896783,-97.08132895,-255.7053231,-35.04715553,-16.86445955,-50.34442869,-6.790677988,-5.757257965,-27.93714501,-12.5296149,-6.8050959
23,1,25,2048741235,-85.75387626,-66.09543539,-32.09547472,-16.6648733,-50.24265229,-6.119173745,-1.562617951,-23.64329191,-10.51497532,-5.838956826
23,1,26,2049154008,-82.1942559,-65.82968083,-31.66994251,-16.32667177,-50.20468661,-6.065743666,-1.752563578,-23.69510677,-10.52350655,-6.343830571
23,1,27,2015592357,-81.85691085,-188.8448531,-33.38380727,-16.65816445,-50.27821749,-6.380602642,-1.97214471,-23.95587843,-11.52345811,-7.13486406
23,1,28,2055112171,-81.70695473,-63.55380653,-31.35679454,-16.07521738,-51.13470149,-6.061003285,-1.702721732,-23.39092515,-10.48226833,-5.34316082
24,1,1,2048341720,-84.25906926,-72.13810371,-32.73894698,-16.69987965,-50.24786522,-6.1735735,-1.714606216,-23.87209712,-10.63638531,-5.61770589
24,1,2,2047919200,-82.30699624,-63.82695745,-31.38586664,-16.18147761,-50.17846076,-5.863961123,-1.123466084,-23.50258028,-10.4551734,-5.282714135
24,1,3,2052883773,-81.73282058,-63.55792775,-31.28162088,-16.16781688,-51.15689969,-6.087807871,-1.943995236,-23.34037096,-10.33894893,-5.513010967
24,1,4,2052469181,-80.30524111,-62.08355661,-30.72693622,-15.43294081,-50.39229908,-5.876318294,-1.204689881,-23.00761631,-10.46300827,-5.122847069
24,1,5,1989031588,-80.9746117,-82.90476204,-32.96167888,-16.9897819,-50.81160592,-6.219682461,-1.840543698,-23.55623676,-10.84853472,-5.616937531
24,1,6,2056992519,-81.73682873,-64.49466578,-32.19272831,-16.34748194,-51.01423337,-6.210211576,-1.705963475,-23.53342902,-10.77907476,-5.465294066
24,1,7,2058244092,-81.62232345,-63.48010799,-31.53920577,-16.11313757,-50.94048804,-6.088990692,-1.758430635,-23.41713151,-10.55310229,-5.332642798
24,1,8,2057839508,-81.60996108,-63.48327786,-31.50379003,-16.11065132,-50.93530759,-6.126083519,-1.895486062,-23.41928634,-10.516547,-5.485814404
24,1,9,1987108350,-80.972323,-178.3905278,-33.42023805,-17.23831596,-51.21250956,-6.242339571,-2.103572608,-23.74494225,-10.88716479,-6.231327808
24,1,10,2053866316,-81.73297394,-70.41608229,-32.34767642,-16.34665535,-51.18410028,-6.18344481,-1.89457318,-23.46145512,-10.68832663,-6.313354964
24,1,11,2053964701,-82.03996282,-63.98441651,-31.49267793,-16.13487699,-51.15080428,-5.894322489,-1.647525545,-23.43029707,-10.47273922,-5.315827272
24,1,12,1951231095,-84.91615806,-283.9921847,-33.07319624,-16.82036467,-50.26005734,-6.235247714,-1.715191063,-24.11692455,-10.91600828,-5.944275066
24,1,13,2044828218,-84.33336304,-84.71787017,-32.51330124,-16.66689557,-50.24583516,-6.185468511,-1.516888881,-23.88895632,-10.62784186,-5.514269948
24,1,14,2041460018,-84.93650424,-159.9484898,-32.98095934,-16.82806906,-50.26278793,-6.216448386,-1.468075846,-24.1151778,-10.87400391,-5.894942167
24,1,15,2064417349,-84.96059474,-155.8340639,-33.70770734,-16.84046002,-50.28786097,-6.404761119,-1.666038687,-24.17118667,-11.62606942,-6.304077338
24,1,16,2044766354,-86.01028236,-104.4929997,-33.57672106,-16.8110747,-50.28107155,-6.385416064,-1.714099999,-23.92818657,-11.53837938,-6.770687001
24,1,17,2049798249,-85.85123772,-66.56978544,-32.60851696,-16.72087956,-50.25162774,-6.192583762,-1.710566352,-23.8094093,-10.74555639,-6.16052218
24,1,18,2074906518,-104.5471696,-255.4262471,-37.12446902,-18.67552981,-50.61709224,-6.859269255,-3.781856695,-28.25171741,-12.6821654,-5.976267247
24,1,19,2048385518,-85.22541225,-137.6316443,-32.78675239,-16.83392533,-50.25537336,-6.190471164,-1.589332341,-24.08446943,-10.73933661,-5.642876023
24,1,20,2042322213,-85.40141096,-83.45384387,-32.65206858,-16.8236983,-50.25643908,-6.192090931,-1.723442477,-24.04844414,-10.75783896,-6.563910643
24,1,21,2012572856,-83.60205714,-290.0476533,-38.67816494,-20.57504975,-50.32049935,-6.745642936,-1.827521491,-24.5051552,-12.4198088,-6.493915223
24,1,22,2075087171,-84.73685561,-68.06911006,-34.15570547,-16.82094432,-50.31011246,-6.566860482,-3.011484817,-24.30242118,-11.99618151,-6.695782114
24,1,23,2084377534,-92.11784663,-257.9148628,-38.70885382,-19.91667299,-50.65659412,-6.955938514,-8.072921372,-28.77109679,-12.92328944,-8.261075547
24,1,24,2082789868,-109.4660697,-255.3428998,-34.90411231,-16.85344233,-50.3397954,-6.744269714,-5.685805495,-27.75008879,-12.44264579,-6.793832134
24,1,25,2048741755,-85.7537294,-66.09492592,-32.09544743,-16.66594292,-50.2426068,-6.11907679,-1.56258546,-23.64210922,-10.51471721,-5.835635024
24,1,26,2050145778,-82.30704173,-66.13125013,-31.77124454,-16.39186144,-50.21744927,-6.072950153,-1.728059911,-23.76177415,-10.54865121,-6.374541416
24,1,27,1962780787,-81.85732414,-188.8448661,-33.36784484,-16.65826973,-50.27796146,-6.375954537,-1.972907351,-23.95270856,-11.52331515,-6.680206724
24,1,28,2054984024,-81.70691834,-63.53493676,-31.31411369,-16.07181357,-51.13283778,-5.876635281,-1.702173145,-23.37694081,-10.46290066,-5.340512372
25,1,1,2048233328,-83.57219874,-72.13517558,-32.73943695,-16.70038262,-50.24802508,-6.173558814,-1.713642908,-23.86976813,-10.63651748,-5.610310693
25,1,2,2047973526,-81.65301363,-63.9480689,-31.43687052,-16.20812065,-50.18257808,-5.868240904,-1.122130176,-23.56430635,-10.47710517,-5.297670887
25,1,3,2053054028,-81.28693179,-63.66151458,-31.3531178,-16.19277686,-51.16135753,-6.135633424,-1.746415534,-23.5047793,-10.37367547,-5.574780967
25,1,4,2059306305,-80.87670568,-63.64718453,-31.55590771,-16.0831687,-50.7753311,-5.914271626,-1.582815454,-23.51197942,-10.59117545,-5.362112858
