"scenario","stage","block","uid:1"
1,1,1,56.99999999999999
1,1,2,50.84210526315788
1,1,3,107.84210526315788
1,1,4,110.84210526315795
1,1,5,104.68421052631584
1,1,6,98.52631578947373
1,1,7,92.36842105263163
1,1,8,86.21052631578954
1,1,9,80.05263157894741
1,1,10,73.89473684210532
1,1,11,67.7368421052632
1,1,12,61.578947368421076
1,1,13,55.421052631578966
1,1,14,49.26315789473686
1,1,15,43.10526315789476
1,1,16,36.94736842105265
1,1,17,30.789473684210535
1,1,18,24.631578947368425
1,1,19,18.473684210526322
1,1,20,12.315789473684209
1,1,21,6.157894736842108
1,1,22,0
1,1,23,6.157894736842108
1,1,24,0
