"scenario","stage","block","uid:1"
1,1,1,-19.999999999999996
1,1,2,-19.999999999999996
1,1,3,-19.999999999999996
1,1,4,-19.999999999999996
1,1,5,-19.999999999999996
1,1,6,-19.999999999999996
1,1,7,-19.999999999999996
1,1,8,-19.999999999999996
1,1,9,-19.999999999999996
1,1,10,-19.999999999999996
1,1,11,-19.999999999999996
1,1,12,0
1,1,13,0
1,1,14,-0
1,1,15,0
1,1,16,-19.999999999999996
1,1,17,-19.999999999999996
1,1,18,-19.999999999999996
1,1,19,-22.560922855082914
1,1,20,-22.560922855082914
1,1,21,-22.560922855082914
1,1,22,-22.560922855082914
1,1,23,-22.560922855082914
1,1,24,-19.999999999999996
